School	Locality	Ages	Report	Website
Acorns School	Marple	5-16	Ofsted	—
Brabyns Preparatory School	Marple	2-11	ISI [ dead link ]	website
Bridge College	Offerton	16-99	134143	website [ dead link ]
Cheadle Hulme School	Cheadle Hulme	4-18	ISI [ dead link ]	website
Covenant Christian School	Heaton Moor	5-16	Ofsted	website
C.Y.C.E.S	Cheadle	8-16	Ofsted	website [ dead link ]
Greenbank School	Cheadle Hulme	2-11	ISI [ dead link ]	website
Hillcrest Grammar School	Shaw Heath	2-17	ISI [ dead link ]	website
Hulme Hall Grammar School	Cheadle Hulme	2-16	ISI [ dead link ]	website
Inscape House School	Cheadle	4-19	Ofsted	website [ dead link ]
Lady Barn House School	Cheadle	2-11	ISI [ dead link ]	website
Mereside Education Trust	Heaton Mersey	7-18	—	—
Penarth Group School	Hazel Grove	8-16	—	website
Ramillies Hall School	Cheadle Hulme	0-14	ISI [ dead link ]	website
Seashell Trust	Cheadle Hulme	4-19	Ofsted	website
St James Independent School	Heaton Norris	3-11	Ofsted	website [ dead link ]
Stella Maris School	Heaton Mersey	3-11	Ofsted	website
Stockport Grammar School	Heaviley	2-18	ISI [ dead link ]	website
