Player	G	Tackles	Solo	Assts	Sacks	Int	Int yards	Int avg.	Int TD	Fum. rec	Fum. rec TD
Antonio Pierce	11	65	50	15	1.0	0	0	0	0	0	0
Justin Tuck	12	49	41	8	11.5	1	41	41.0	1	0	0
Aaron Ross	12	49	43	6	0.0	3	58	19.3	1	0	0
Michael Johnson	12	48	28	20	0.0	2	18	9.0	0	1	0
Kenny Phillips	12	48	41	7	0.0	1	0	0	0	0	0
Danny Clark	12	48	27	21	0.0	0	0	0	0	0	0
James Butler	11	47	35	12	0.0	2	15	7.5	0	1	0
Corey Webster	12	36	35	1	1.0	3	65	21.7	0	0	0
Barry Cofield	11	34	27	7	3.0	0	0	0	0	0	0
Mathias Kiwanuka	12	31	22	9	7.0	0	0	0	0	2	0
Chase Blackburn	12	27	18	9	1.0	0	0	0	0	1	0
Kevin Dockery	9	26	23	3	0.0	1	44	44.0	0	0	0
Fred Robbins	11	23	21	2	5.5	0	0	0.0	0	0	0
Bryan Kehl	12	22	15	7	0.0	1	17	17.0	0	0	0
Terrell Thomas	8	19	17	2	0.0	1	13	13.0	0	0	0
Renaldo Wynn	12	16	13	3	1.0	0	0	0.0	0	0	0
Dave Tollefson	9	15	12	3	3.5	0	0	0.0	0	0	0
Jay Alford	11	9	4	5	1.5	0	0	0.0	0	0	0
Sammy Knight	8	8	8	0	0.0	0	0	0.0	0	0	0
Gerris Wilkinson	6	7	3	1	0.0	0	0	0.0	0	0	0
Sam Madison	6	4	3	1	0.0	1	21	21.0	0	0	0
R.W. McQuarters	6	2	1	1	0.0	0	0	0.0	0	0	0
Jeremy Clark	1	2	0	2	0.0	0	0	0.0	0	0	0
