Athlete	Event	Quarterfinal	Semifinal	Final
Arman Naghdi	48 kg	Did not advance	Did not advance	Did not advance
Ali Asghari	51 kg	Did not advance	Did not advance	Did not advance
Bijan Batmani	54 kg	Did not advance	Did not advance	Did not advance
Mohammad Reza Shaterloo	57 kg	Did not advance	Did not advance	Did not advance
Pejman Chalak	60 kg	Did not advance	Did not advance	Did not advance
Omid Rashid	63.5 kg	Did not advance	Did not advance	Did not advance
Anoushiravan Nourian	67 kg	Arziev ( KGZ ) W 10–2	Chenglai ( THA ) L 17–26	Did not advance
Asadollah Johari	71 kg	Pan ( CHN ) L RSC	Did not advance	Did not advance
Siamak Varzideh	75 kg	Yarbekov ( UZB ) L 10–15	Did not advance	Did not advance
Ayoub Pourtaghi	81 kg	Bye	Singh ( IND ) W 16–9	Ko ( KOR ) W 9–7
Bahman Azizpour	91 kg	Filipovich ( KGZ ) W 21–12	Hawsawi ( KSA ) L 4–6	Did not advance
Mohammad Reza Samadi	+91 kg	Shtorm ( KAZ ) W 14–7	Khan ( PAK ) W RSC	Maskaev ( UZB ) L RSC
