Game	Date	Opponent	Result	Falcons points	Opponents	Attendance
1	Sept. 12	at New York Giants	Win	16	14	74,286
2	Sept. 19	Los Angeles Raiders	Loss	14	38	54,774
3	Nov. 21	Los Angeles Rams	Win	34	17	39,686
4	Nov. 28	St. Louis Cardinals	Loss	20	23	33,411
5	Dec. 5	at Denver Broncos	Win	34	27	73,984
6	Dec. 12	New Orleans Saints	Win	35	0	39,535
7	Dec. 19	at San Francisco 49ers	Win	17	7	53,234
8	Dec. 26	Green Bay Packers	Loss	7	38	50,245
9	Jan. 2	at New Orleans Saints	Loss	6	35	47,336
Wildcard	Jan. 9	at Minnesota Vikings	Loss	24	30	60,560
