Week	Date	Opponent	Result	Attendance
1	September 11, 2005	at Pittsburgh Steelers	L 7-34	62,931
2	September 18, 2005	Baltimore Ravens	W 25–10	69,149
3	September 25, 2005	at St. Louis Rams	L 27-31	65,835
4	October 2, 2005	Indianapolis Colts	L 10-31	69,149
5	October 9, 2005	at Houston Texans	W 34–20	70,430
6	October 16, 2005	Cincinnati Bengals	L 23-31	69,149
7	October 23, 2005	at Arizona Cardinals	L 10-20	39,482
8	October 30, 2005	Oakland Raiders	L 25-34	69,149
9	November 6, 2005	at Cleveland Browns	L 14-20	72,594
10	Bye	Bye	Bye	Bye
11	November 20, 2005	Jacksonville Jaguars	L 28-31	69,149
12	November 27, 2005	San Francisco 49ers	W 33–22	69,149
13	December 4, 2005	at Indianapolis Colts	L 3-35	57,228
14	December 11, 2005	Houston Texans	W 13–10	69,149
15	December 18, 2005	Seattle Seahawks	L 24-28	69,149
16	December 24, 2005	at Miami Dolphins	L 10-24	72,001
17	January 1, 2006	at Jacksonville Jaguars	L 13-40	65,485
