Week	Date	Opponent	Result	Record	Game Site
1	September 13, 1987	Cincinnati Bengals	L 21–23	0–1	Hoosier Dome
2	September 20, 1987	Miami Dolphins	L 10–23	0–2	Hoosier Dome
3	September 27, 1987	at St. Louis Cardinals	Canceled	0–2	Busch Memorial Stadium
4	October 4, 1987	at Buffalo Bills	W 47–6	1–2	Rich Stadium
5	October 11, 1987	New York Jets	W 6–0	2–2	Hoosier Dome
6	October 18, 1987	at Pittsburgh Steelers	L 7–21	2–3	Three Rivers Stadium
7	October 25, 1987	New England Patriots	W 30–16	3–3	Hoosier Dome
8	November 1, 1987	at New York Jets	W 19–14	4–3	The Meadowlands
9	November 8, 1987	San Diego Chargers	L 13–16	4–4	Hoosier Dome
10	November 15, 1987	at Miami Dolphins	W 40–20	5–4	Joe Robbie Stadium
11	November 22, 1987	at New England Patriots	L 0–24	5–5	Sullivan Stadium
12	November 29, 1987	Houston Oilers	W 51–27	6–5	Hoosier Dome
13	December 6, 1987	at Cleveland Browns	W 9–7	7–5	Cleveland Stadium
14	December 13, 1987	Buffalo Bills	L 3–27	7–6	Hoosier Dome
15	December 20, 1987	at San Diego Chargers	W 20–7	8–6	Jack Murphy Stadium
16	December 27, 1987	Tampa Bay Buccaneers	W 24–6	9–6	Hoosier Dome
