Institution	Location	Nickname	Founded	Type	Enrollment	Joined
Averett University	Danville, Virginia	Cougars	1859	Private/Non-sectarian	2719	1978
Covenant College	Lookout Mountain, Georgia	Scots (men's) Lady Scots (women's)	1955	Private/Presbyterian	1282	2013
Ferrum College	Ferrum, Virginia	Panthers	1913	Private/Methodist	1100	1988
Greensboro College	Greensboro, North Carolina	Pride	1838	Private/Methodist	1233	1966
Huntingdon College	Montgomery, Alabama	Hawks	1854	Private/Methodist	900	2013
LaGrange College	LaGrange, Georgia	Panthers	1831	Private/Methodist	1137	2012
Mary Baldwin College †	Staunton, Virginia	Fighting Squirrels	1842	Private/Presbyterian	2242	2007
Maryville College	Maryville, Tennessee	Scots	1819	Private/Presbyterian	1103	2012
Meredith College †	Raleigh, North Carolina	Avenging Angels	1891	Private/Non-sectarian	1990	2007
Methodist University	Fayetteville, North Carolina	Monarchs	1956	Private/Methodist	2215	1963
North Carolina Wesleyan College	Rocky Mount, North Carolina	Battling Bishops	1956	Private/Methodist	900	1963
Piedmont College	Demorest, Georgia	Lions	1897	Private/Congregationalist	2640	2012
