Television service	Country	Language	Content	HDTV	Package/Option
Sky Calcio Info	Italy	Italian	informazioni	no	no ( FTA )
Sky Supercalcio HD	Italy	Italian	calcio	yes	Sky Calcio + Sky HD
Sky Sport 24 HD	Italy	Italian	sport news	yes	Sky Sport o Sky Calcio o Sky TV + Sky HD
Sky Calcio 1	Italy	Italian	calcio	no	Sky Calcio; qualsiasi in PPV
Sky Calcio 1 HD	Italy	Italian	calcio	yes	Sky Calcio + Sky HD ; solamente Sky HD in PPV
Sky Calcio 2	Italy	Italian	calcio	no	Sky Calcio; qualsiasi in PPV
Sky Calcio 2 HD	Italy	Italian	calcio	yes	Sky Calcio + Sky HD ; solamente Sky HD in PPV
Sky Calcio 3	Italy	Italian	calcio	no	Sky Calcio; qualsiasi in PPV
Sky Calcio 3 HD	Italy	Italian	calcio	yes	Sky Calcio + Sky HD ; solamente Sky HD in PPV
Sky Calcio 4	Italy	Italian	calcio	no	Sky Calcio; qualsiasi in PPV
Sky Calcio 4 HD	Italy	Italian	calcio	yes	Sky Calcio + Sky HD ; solamente Sky HD in PPV
Sky Calcio 5	Italy	Italian	calcio	no	Sky Calcio; qualsiasi in PPV
Sky Calcio 5 HD	Italy	Italian	calcio	yes	Sky Calcio + Sky HD ; solamente Sky HD in PPV
Sky Calcio 6	Italy	Italian	calcio	no	Sky Calcio; qualsiasi in PPV
Sky Calcio 6 HD	Italy	Italian	calcio; PPV Wrestling	yes	Sky Calcio + Sky HD ; solamente Sky HD in PPV
Sky Calcio 7	Italy	Italian	calcio	no	Sky Calcio; qualsiasi in PPV
Sky Calcio 7 HD	Italy	Italian	calcio	yes	Sky Calcio + Sky HD ; solamente Sky HD in PPV
Sky Calcio 8	Italy	Italian	calcio	no	Sky Calcio; qualsiasi in PPV
Sky Calcio 8 HD	Italy	Italian	calcio	yes	Sky Calcio + Sky HD ; solamente Sky HD in PPV
Sky Calcio 9	Italy	Italian	calcio	no	Sky Calcio; qualsiasi in PPV
Sky Calcio 10	Italy	Italian	calcio	no	Sky Calcio; qualsiasi in PPV
Sky Calcio 11	Italy	Italian	calcio	no	Sky Calcio; qualsiasi in PPV
Sky Calcio 12	Italy	Italian	calcio	no	Sky Calcio; qualsiasi in PPV
Sky Calcio 13	Italy	Italian	calcio	no	Sky Calcio; qualsiasi in PPV
Sky Calcio 14	Italy	Italian	calcio	no	Sky Calcio; qualsiasi in PPV
Sky WWE 24/7	Italy	Italian	calcio; PPV wrestling	no	qualsiasi
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Calcio 1	Italy	Italian	calcio	no	Sky Calcio; qualsiasi in PPV
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Calcio 2	Italy	Italian	calcio	no	Sky Calcio; qualsiasi in PPV
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Calcio 3	Italy	Italian	calcio	no	Sky Calcio; qualsiasi in PPV
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Calcio 4	Italy	Italian	calcio	no	Sky Calcio; qualsiasi in PPV
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Calcio 5	Italy	Italian	calcio	no	Sky Calcio; qualsiasi in PPV
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Calcio 6	Italy	Italian	calcio	no	Sky Calcio; qualsiasi in PPV
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Calcio 7	Italy	Italian	calcio	no	Sky Calcio; qualsiasi in PPV
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Calcio 8	Italy	Italian	calcio	no	Sky Calcio; qualsiasi in PPV
