Game	Date	Opponent	Score	Location	Record
15	Sat. Dec. 1	@ Cleveland Cavaliers	110-104	Richfield Coliseum	14-1
16	Sun. Dec. 2	Cleveland Cavaliers	122-99	Boston Garden	15-1
17	Tue. Dec. 4	@ Detroit Pistons	99-104	Pontiac Silverdome	15-2
18	Wed. Dec. 5	Denver Nuggets	123-107	Boston Garden	16-2
19	Sat. Dec. 8	@ New Jersey Nets	107-98	Brendan Byrne Arena	17-2
20	Sun. Dec. 9	Atlanta Hawks	128-127	Boston Garden	18-2
21	Tue. Dec. 11	New Jersey Nets	130-121	Hartford Civic Center	19-2
22	Wed. Dec. 12	@ Philadelphia 76ers	107-110	The Spectrum	19-3
23	Fri. Dec. 14	Utah Jazz	117-106	Boston Garden	20-3
24	Sat. Dec. 15	@ Atlanta Hawks	101-94	The Omni	21-3
25	Tue. Dec. 18	@ New York Knicks	126-108	Madison Square Garden	22-3
26	Wed. Dec. 19	Milwaukee Bucks	92-107	Boston Garden	22-4
27	Fri. Dec. 21	Indiana Pacers	117-107	Boston Garden	23-4
28	Sat. Dec. 22	@ Chicago Bulls	85-110	Chicago Stadium	23-5
29	Wed. Dec. 26	@ Phoenix Suns	119-114	Arizona Veterans Memorial Coliseum	24-5
30	Thu. Dec. 27	@ Los Angeles Clippers	118-103	Los Angeles Memorial Sports Arena	25-5
31	Sat. Dec. 29	@ San Antonio Spurs	120-112	HemisFair Arena	26-5
32	Sun. Dec. 30	@ Milwaukee Bucks	98-114	The MECCA	26-6
