Nation	Skip	Third	Second	Lead
Czech Republic	Jiri Snitil	Jindrich Kitzberger	Martin Snitil	Marek Vydra
Denmark	Ulrik Schmidt	Johnny Frederiksen	Bo Jensen	Lars Vilandt
France	Thomas Dufour	Tony Angiboust	Jan Ducroz	Raphael Mathieu
Germany	Andy Kapp	Andreas Lang	Uli Kapp	Holger Höhne
Ireland	Peter Wilson	Bill Gray	Neil Fyfe	John Furey
Norway	Thomas Ulsrud	Torger Nergård	Christoffer Svae	Håvard Vad Petersson
Scotland	David Murdoch	Ewan MacDonald	Peter Smith	Euan Byers
Spain	Antonio de Mollinedo	Martin Rios	Jose Manuel Sanguesa	Angel Garcia
Sweden	Henrik Edlund	Mathias Mabergs *	Emil Marklund	David Kallin
Switzerland	Stefan Karnusian	Christof Schwaller	Robert Hurlimann	Rolf Iseli
