Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Mossley	42	9	7	96	41	+55	65
2	Witton Albion	42	8	6	89	30	+59	64
3	Frickley Athletic	42	13	5	93	48	+45	61
4	Burton Albion	42	6	11	83	42	+41	56
5	Matlock Town	42	17	7	87	53	+34	53
6	Buxton	42	9	12	61	48	+13	51
7	Worksop Town	42	10	12	65	52	+13	50
8	Macclesfield Town	42	11	13	67	53	+14	47
9	Grantham	42	8	16	71	65	+6	44
10	Marine	42	10	16	65	57	+8	42
11	Goole Town	42	13	15	61	63	−2	41
12	Lancaster City	42	13	16	74	77	−3	39
13	Oswestry Town	42	14	16	44	60	−16	38
14	Gainsborough Trinity	42	8	20	64	75	−11	36
15	Runcorn	42	11	20	46	63	−17	33
16	Gateshead	42	11	20	50	77	−27	33
17	Morecambe	42	12	20	40	59	−19	32
18	Netherfield	42	15	20	37	66	−29	29
19	Southport	42	13	21	30	75	−45	29
20	South Liverpool	42	14	21	51	84	−33	28
21	Workington	42	12	22	50	85	−35	28
22	Tamworth	42	9	25	26	77	−51	25
