Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Oct 6, 1996	Ralphs Senior Classic	−11 (68-68-66=202)	1 stroke	Jim Colbert , Chi-Chi Rodríguez
Apr 6, 1997	The Tradition	−22 (66-66-67-67=266)	6 strokes	Isao Aoki
Jun 1, 1997	Ameritech Senior Open	−6 (67-69-74=210)	1 stroke	Hale Irwin
Jun 8, 1997	BellSouth Senior Classic at Opryland	−14 (69-66-67=202)	2 strokes	John Bland
Aug 17, 1997	First of America Classic	−9 (69-67-71=207)	1 stroke	Bob Duval
Nov 2, 1997	Ralphs Senior Classic	−15 (67-66-65=198)	1 stroke	George Archer
Nov 9, 1997	Energizer Senior Tour Championship	−16 (69-66-66-71=272)	2 strokes	Hale Irwin
Jan 18, 1998	MasterCard Championship	−21 (65-66-64=195)	6 strokes	Gibby Gilbert , Hale Irwin
Feb 8, 1998	LG Championship	−6 (69-73-68=210)	2 strokes	Dale Douglass , Raymond Floyd
Apr 5, 1998	The Tradition	−12 (71-66-69-70=276)	2 strokes	Tom Wargo
Jul 12, 1998	Ford Senior Players Championship	−21 (69-64-68-66=267)	3 strokes	Hale Irwin
Aug 2, 1998	Utah Showdown	−16 (66-67-67=200)	4 strokes	Isao Aoki , John Mahaffey
Oct 4, 1998	Vantage Championship	−12 (66-67-65=198)	1 stroke	Hale Irwin
Sep 12, 1999	Comfort Classic	−15 (67-65-69=201)	2 strokes	Ed Dougherty
Sep 26, 1999	Kroger Senior Classic	−18 (67-68-63=198)	2 strokes	Ed Dougherty
Mar 26, 2000	Emerald Coast Classic	−13 (65-65-67=197)	4 strokes	Larry Nelson
Jul 23, 2000	The Instinet Classic	−17 (67-66-66=199)	4 strokes	Bruce Fleisher , Bob Murphy
Sep 10, 2000	Comfort Classic	−13 (64-67=131)	1 stroke	Jim Ahern
Feb 11, 2001	ACE Group Classic	−12 (71-67-66=204)	2 strokes	Dana Quigley
Jun 17, 2001	The Instinet Classic	−15 (63-69-69=201)	2 strokes	Tom Jenkins , J. C. Snead
Jun 16, 2002	BellSouth Senior Classic at Opryland	−14 (67-68-67=202)	3 strokes	Bruce Fleisher , Mike McCullough , Dana Quigley
Sep 7, 2003	Kroger Classic	−16 (65-67-68=200)	2 strokes	Doug Tewell
Mar 14, 2004	SBC Classic	−14 (67-66-69=202)	2 strokes	Larry Nelson
Jun 4, 2006	Allianz Championship	−16 (66-64-67=197)	1 stroke	Loren Roberts
Sep 2, 2007	Wal-Mart First Tee Open at Pebble Beach	−14 (70-65-67=202)	2 strokes	Hale Irwin
