Year	Winner	Jockey	Trainer	Owner
2013	Hessonite	Junior Alvarado	David G. Donk	Punk/Dileo
2012	Winter Memories	Eddie Castro	James J. Toner	Phillips Racing Partnership
2011	Daveron	Eddie Castro	H. Graham Motion	Team Valor International
2010	Dynaslew	Eibar Coa	Seth Benzel	Live Oak Plantation Racing
2009	My Princess Jess	Cornelio Velazquez	Barclay Tagg	Lael Stables
2008	Criminologist	John Velazquez	Claude McGaughey III	Stuart Janney III
2007	Masseuese	Edgar Prado	James J. Toner	Nicholson, Elser
2006	Pommes Frites	Cornelio Velasquez	William I. Mott	Haras Santa Maria de Araras
2005	Finery	Pablo Fragoso	William H. Turner, Jr.	Althea D. Richards
2004	Dedication	Javier Castellano	Christophe Clement	Ghislaine Head
2003	Delta Princess	Michael Luzzi	William I. Mott	Saud bin Khaled
2002	Voodoo Dancer	Jerry D. Bailey	Christophe Clement	Green Hills Farm
2001	Gaviola	Jerry D. Bailey	William H. Turner, Jr.	Twilite Farm
2000	Perfect Sting	Jerry D. Bailey	Joseph Orseno	Stronach Stable
1999	Tampico	John Velazquez	Barclay Tagg	Ronald G. Cullis
1998	National Treasure	Richard Migliore	Mitchell Friedman	Sunny Meadow Farm
1997	Careless Heiress	Joe Bravo	Warren A. Croll, Jr.	R. Levy/Sibling Stable
1996	Christmas Gift	Jerry D. Bailey	Mark A. Hennig	Edward P. Evans
1995	Caress	Robbie Davis	H. Allen Jerkens	Harbor View Farm
1994	Cox Orange	Jerry D. Bailey	Christophe Clement	Mohammed Al Maktoum
1993	Mckaymackenna	Jorge Velasquez	Rene Araya	R Kay Stable
1992	Christiecat	Jean-Luc Samyn	Patrick J. Kelly	Fox Ridge Farm
1991	Summer Secretary	Jorge Velasquez	H. Allen Jerkens	Middletown Stables
1990	Fieldy	Craig Perret	Thomas J. Skiffington	Fernwood Stables
1989	Summer Secretary	Jean-Luc Samyn	Thomas J. Skiffington	Evergreen Farms
1988	Key To The Bridge	Eddie Maple	Patrick J. Kelly	Fox Ridge Farm
1987	Give A Toast	Robbie Davis	H. Allen Jerkens	Bohemia Stable
1986	Duty Dance	Jean Cruguet	Claude R. McGaughey III	Ogden Mills Phipps
1985	Possible Mate	Jacinto Vasquez	Philip G. Johnson	Edward P. Evans
1984	Thirty Flags	Angel Cordero, Jr.	H. Allen Jerkens	Bohemia Stable
1983	Trevita	Jorge Velasquez	Jonathan E. Sheppard	Augustin Stables
1982	Cheap Seats	Angel Cordero, Jr.	John Parisella	Theodore Sabarese
1981	Andover Way	Angel Cordero, Jr.	Howard M. Tesher	H. Joseph Allen
1980	Samarta Dancer	Larry Saumell	Flint S. Schulhofer	Stephen Peskoff
1979	Heavenly Ade	Mickey Solomone	Mary Edens	Adele W. Paxson
1979	Plankton	Ruben Hernandez	Howard M. Tesher	Frederick K. Tesher
1978	Shukey	Jorge Velasquez	Willard C. Freeman	Anne Minor Stone
