Date	Opponent	Score	Loss	Attendance	Record
August 1	Orioles	10 - 5	Washburn (5-10)	28,114	41-68
August 2	Orioles	3 - 1	Hernández (7-7)	30,502	41-69
August 3	Orioles	8 - 4	Cabrera (7-7)	33,334	42-69
August 4	Twins	11 - 6	Bass (3-4)	27,758	43-69
August 5	Twins	8 - 7	Guerrier (6-5)	26,083	44-69
August 6	Twins	7 - 3	Washburn (5-11)	30,441	44-70
August 7	Rays	2 - 1	Wheeler (2-5)	25,423	45-70
August 8	Rays	5 - 3	Silva (4-13)	30,220	45-71
August 9	Rays	8 - 7 (11)	Batista (4-12)	27,905	45-72
August 10	Rays	11 - 3	Dickey (3-7)	30,336	45-73
August 12	@ Angels	7-3	Washburn (5-12)	42,086	45-74
August 13	@ Angels	10 - 7 (12)	Speier (1-5)	42,754	46-74
August 15	@ Twins	9-3	Silva (4-14)	32,208	46-75
August 16	@ Twins	7-6	Jimenez (0-3)	36,316	46-76
August 17	@ Twins	11-8	Feierabend (0-1)	35,478	46-77
August 18	@ White Sox	13-5	Washburn (5-13)	39,002	46-78
August 19	@ White Sox	5-0	Hernández (7-8)	26,414	46-79
August 20	@ White Sox	15-3	Dickey (3-8)	27,000	46-80
August 21	Athletics	2-0	Rowland-Smith (2-2)	25,611	46-81
August 22	Athletics	7-5	Blevins (1-3)	26,603	47-81
August 23	Athletics	5 - 1	Washburn (5-14)	34,145	47-82
August 24	Athletics	8 - 4	Meyer (0-2)	28,731	48-82
August 25	Twins	4 - 2 (11)	Crain (5-4)	23,277	49-82
August 26	Twins	3 - 2	Baker (7-4)	26,292	50-82
August 27	Twins	6 - 5	Green (3-4)	23,581	50-83
August 29	@ Indians	3 - 2	Sowers (2-7)	26,047	51-83
August 30	@ Indians	4 - 3 (10)	Lewis (0-4)	33,387	52-83
August 31	@ Indians	6 - 4	Jackson (0-1)	35,376	53-83
