Kansas State vs.	Games played	Overall Record	Last 5 Meetings	Last 10 Meetings	Current Streak	Last Meeting
Wichita State	31	KSU, 20-11	KSU, 3-2	KSU, 6-4	W 2	12/10/2003
Indiana	31	IU, 19-12	IU, 5-0	IU, 9-1	L 9	11/23/1998
Drake	26	KSU, 20-6	KSU, 4-1	KSU, 8-2	W 1	12/18/1956
Saint Louis	17	SLU, 9-8	KSU, 4-1	KSU, 6-4	L 1	1/3/2004
UMKC	17	KSU, 16-1	KSU, 4-1	KSU, 9-1	W 2	12/29/2012
Creighton	15	CU, 8-7	KSU, 4-1	KSU, 7-3	W 2	12/5/1987
Minnesota	15	UM, 8-7	UM, 3-2	tied, 5-5	W 1	12/16/1989
Washington	15	KSU, 9-6	UW, 3-2	UW, 6-4	L 1	12/9/1995
Arizona	13	KSU, 8-5	KSU, 3-2	tied, 5-5	L 2	11/16/1999
Colorado State	12	KSU, 7-5	CSU, 3-2	KSU, 6-4	L 1	12/2/2006
Arkansas	11	KSU, 8-3	KSU, 3-2	KSU, 7-3	L 2	12/10/1991
Wyoming	11	KSU, 8-3	KSU, 5-0	KSU, 8-2	W 8	12/11/2004
Illinois	10	ILL, 8-2	ILL, 5-0	ILL, 8-2	L 6	12/2/2000
Marquette	10	KSU, 7-3	KSU, 4-1	KSU, 7-3	W 4	1/3/1988
Loyola Chicago	9	KSU, 5-4	KSU, 4-1	KSU, 5-4	W 3	11/14/2011
Northern Illinois	9	KSU, 8-1	KSU, 4-1	KSU, 8-1	L 1	12/20/2005
Vanderbilt	9	KSU, 5-4	VAN, 3-2	KSU, 5-4	L 2	3/28/1994
Arizona State	8	tied, 4-4	KSU, 4-1	tied, 4-4	W 2	11/24/1998
Houston	8	KSU, 5-3	KSU, 3-2	KSU, 5-3	W 1	12/21/1974
Iowa	8	tied, 4-4	KSU, 3-2	tied, 4-4	L 2	11/29/2008
Kentucky	8	UK, 8-0	UK, 5-0	UK, 8-0	L 8	11/28/2008
Purdue	8	KSU, 6-2	KSU, 3-2	KSU, 6-2	W 2	11/26/1988
SMU	8	KSU, 6-2	KSU, 4-1	KSU, 6-2	L 1	12/29/1982
South Dakota	8	KSU, 8-0	KSU, 5-0	KSU, 8-0	W 8	12/31/2012
Xavier	8	tied, 4-4	XAV, 3-2	tied, 4-4	W 2	3/25/2010
Brigham Young	7	KSU, 4-3	KSU, 3-2	KSU, 4-3	W 1	3/20/2010
California	7	KSU, 6-1	KSU, 4-1	KSU, 6-1	W 1	12/9/2007
Cincinnati	7	CIN, 6-1	CIN, 5-0	CIN, 6-1	L 6	12/2/1968
Northern Iowa	7	KSU, 6-1	KSU, 4-1	KSU, 6-1	W 1	12/8/1984
North Texas	7	KSU, 6-1	KSU, 5-0	KSU, 6-1	W 5	3/18/2010
Southern Illinois	7	KSU, 7-0	KSU, 5-0	KSU, 7-0	W 7	12/22/2011
Southern Mississippi	7	KSU, 4-3	KSU, 4-1	KSU, 4-3	W 3	3/15/2012
Central Missouri	6	KSU, 4-2	KSU, 4-1	KSU, 4-2	W 3	1/3/2005
Coppin State	6	KSU, 6-0	KSU, 5-0	KSU, 6-0	W 6	11/25/2006
DePaul	6	tied, 3-3	KSU, 3-2	tied, 3-3	L 1	3/19/2007
Long Beach State	6	KSU, 4-2	KSU, 4-1	KSU, 4-2	W 1	12/25/2011
Long Island	6	tied, 3-3	KSU, 3-2	tied, 3-3	W 2	12/7/1993
UNLV	6	UNLV, 4-2	UNLV, 4-1	UNLV, 4-2	L 1	12/21/2010
New Mexico	6	KSU, 4-2	KSU, 3-2	KSU, 4-2	W 1	12/23/2006
San Francisco	6	KSU, 4-2	KSU, 4-1	KSU, 4-2	W 4	3/12/1981
Tulsa	6	TUL, 5-1	TUL, 4-1	TUL, 5-1	L 1	1/12/1990
Washington State	6	KSU, 4-2	KSU, 4-1	KSU, 4-2	W 2	12/3/2010
Wisconsin	6	WISC, 4-2	WISC, 3-2	WISC, 4-2	L 2	3/19/2011
Louisville	5	UL, 4-1	UL, 4-1	UL, 4-1	W 1	1/3/1981
North Carolina	5	UNC, 4-1	UNC, 4-1	UNC, 4-1	L 3	12/23/1989
Notre Dame	5	ND, 4-1	ND, 4-1	ND, 4-1	L 3	12/4/2007
Oregon State	5	OSU, 3-2	OSU, 3-2	OSU, 3-2	L 1	12/6/2003
USC	5	KSU, 4-1	KSU, 4-1	KSU, 4-1	W 2	3/20/2008
Utah State	5	KSU, 5-0	KSU, 5-0	KSU, 5-0	W 5	3/17/2011
