Grand Prix	Pole Position	Fastest Lap	Winning Driver	Constructor	Report
Australian Grand Prix	Rubens Barrichello	Kimi Räikkönen	Michael Schumacher	Ferrari	Report
Malaysian Grand Prix	Michael Schumacher	Juan Pablo Montoya	Ralf Schumacher	Williams - BMW	Report
Brazilian Grand Prix	Juan Pablo Montoya	Juan Pablo Montoya	Michael Schumacher	Ferrari	Report
San Marino Grand Prix	Michael Schumacher	Rubens Barrichello	Michael Schumacher	Ferrari	Report
Spanish Grand Prix	Michael Schumacher	Michael Schumacher	Michael Schumacher	Ferrari	Report
Austrian Grand Prix	Rubens Barrichello	Michael Schumacher	Michael Schumacher	Ferrari	Report
Monaco Grand Prix	Juan Pablo Montoya	Rubens Barrichello	David Coulthard	McLaren - Mercedes	Report
Canadian Grand Prix	Juan Pablo Montoya	Juan Pablo Montoya	Michael Schumacher	Ferrari	Report
European Grand Prix	Juan Pablo Montoya	Michael Schumacher	Rubens Barrichello	Ferrari	Report
British Grand Prix	Juan Pablo Montoya	Rubens Barrichello	Michael Schumacher	Ferrari	Report
French Grand Prix	Juan Pablo Montoya	David Coulthard	Michael Schumacher	Ferrari	Report
German Grand Prix	Michael Schumacher	Michael Schumacher	Michael Schumacher	Ferrari	Report
Hungarian Grand Prix	Rubens Barrichello	Michael Schumacher	Rubens Barrichello	Ferrari	Report
Belgian Grand Prix	Michael Schumacher	Michael Schumacher	Michael Schumacher	Ferrari	Report
Italian Grand Prix	Juan Pablo Montoya	Rubens Barrichello	Rubens Barrichello	Ferrari	Report
United States Grand Prix	Michael Schumacher	Rubens Barrichello	Rubens Barrichello	Ferrari	Report
Japanese Grand Prix	Michael Schumacher	Michael Schumacher	Michael Schumacher	Ferrari	Report
