Year	Team	Chassis	Engine	Rank
1996	Pagan Racing	Reynard 94i	Ford XB	5th
1996	Pagan Racing	Reynard 95i	Ford XB	5th
1996–1997	Pagan Racing	Reynard 95i	Ford XB	7th
1996–1997	Pagan Racing	Reynard 94i	Ford XB	7th
1996–1997	Pagan Racing	Dallara	Infiniti	7th
1996–1997	Pagan Racing	Dallara	Oldsmobile	7th
1998	Pagan Racing	Dallara	Oldsmobile	26th
1998	Cobb Racing	G-Force	Infiniti	26th
1999	Cobb Racing	G-Force	Infiniti	30th
2000	A.J. Foyt Enterprises	Dallara	Oldsmobile	44th
2000	Team Coulson	G-Force	Oldsmobile	44th
2001	Dick Simon Racing	Dallara	Oldsmobile	NC
