Date	Cover model	Centerfold model	Interview subject	20 Questions
1-92	Swedish Bikini Team	Suzi Simpson	Robin Williams	Woody Harrelson
2-92	Rachel Williams	Tanya Beyer	Liz Smith	Jennifer Jason Leigh
3-92	Anna Nicole Smith	Tylyn John	Lorne Michaels	Forest Whitaker
4-92	Wendy Kaye	Cady Cantrell	Jonathan Kozol	Bobcat Goldthwait
5-92	Elizabeth Gracen	Anna Nicole Smith	Michael Jordan	John Leguizamo
6-92	Corinna Harney	Angela Melini	Ralph Nader	Patrick Swayze
7-92	Pamela Anderson	Amanda Hope	Michael Keaton	Nicole Kidman
8-92	Margie Murphy	Ashley Allen	Derek Humphry	Catherine Crier
9-92	Sandra Bernhard	Morena Corwin	Betty Friedan	Dennis Miller
10-92	Cristy Thom	Tiffany M. Sloan	Sister Souljah	Tim Robbins
11-92	Joan Severance	Stephanie Adams	William Safire	Patrick Stewart
12-92	Sharon Stone	Barbara Moore	Sharon Stone	Helmut Newton
