Series Ep.	Episode	Netflix	Segment A	Segment B	Segment C	Segment D
14-01	170	S07E01	Mini GP Motorcycles	Fig Cookies	Tool Boxes	Pipe Bends
14-02	171	S07E02	Western Revolver s Replica	Arc Trainers	Used-Oil Furnaces	Vegetable Peelers and s Pizza Cutter
14-03	172	S07E03	Metal s Golf Club	s Waffle	Custom Wires and s Cable	Train s Wheel
14-04	173	S07E04	s Sail	s Walnut	Wheel Immobilizers	Honeycomb Structural Panels
14-05	174	S07E05	s Surfboard	s Sticker	Sandwich s Cookie	Concrete Roofing s Tile
14-06	175	S07E06	Ski Goggles	Tower Cranes	Porcelain s Figurine	s Diesel Engine
14-07	176	S07E07	Stuffed s Olive	s Astrolabe	s Western Saddle (Part 1)	s Western Saddle (Part 2)
14-08	177	S07E08	Custom Running Shoes	s Axe	Racing s Kart	s Animatronic
14-09	178	S07E09	s Headphone	s Diving Regulator	Reflector Light Bulbs (Part 1)	Reflector Light Bulbs (Part 2)
14-10	179	S07E10	s Fly Fishing Reel	House Paint	s Weaving Loom	s Ice Maker
14-11	180	S07E11	s Graphite Pencil Lead	s Clarinet	s Special Effect (Part 1)	s Special Effect (Part 2)
14-12	181	S07E12	s Air Boat	s Onion	3D Metal Printing	s Curved Cabinet Door
14-13	182	S07E13	s Retractable Ballpoint Pen	Solar Salt	s Tuba (Part 1)	s Tuba (Part 2)
