Res.	Record	Opponent	Method	Event	Location
Loss	18-17-1	J.J. Ambrose	Submission (guillotine choke)	Bellator LXXXV	Irvine, California , United States
Loss	18-16-1	Ben Saunders	TKO (knees)	Bellator LXXII	Tampa, Florida , United States
Win	18-15-1	David Hayes	TKO (punches)	Gladiator Challenge	San Jacinto, California , United States
Win	17-15-1	Jeff Russell	Submission (Rear-Naked Choke)	Gladiator Challenge - Star Wars	San Jacinto, California , United States
Win	16-15-1	John De La O	TKO (punches)	King of the Cage-Magnaflow	San Bernardino, California , United States
Win	15-15-1	Boyko Ravchen	Decision (unanimous)	King of the Cage-First Defense	San Bernardino, California , United States
Win	14-15-1	Gabriel Rivas	Submission (triangle choke)	King of the Cage-Steel	San Bernardino, California , United States
Loss	13-15-1	Jeremy Horn	Submission (rear-naked choke)	UFO: Rumble at the Races	Kennewick, Washington , United States
Win	13-14-1	George Sanchez	Submission (armbar)	Pure Combat-Drop Zone	Oceanside, California , United States
Win	12-14-1	Lee Chapman	TKO (punches)	CITC - Chaos in the Cage 6	Lancaster, California , United States
Loss	11-14-1	Tiki Ghosn	Decision (unanimous)	Call To Arms-	Ontario , California , United States , Canada
Win	11-13-1	Victor Valenzuela	Decision (unanimous)	King of the Cage-Prowler	Highland, California , California , United States
Loss	10-13-1	Jeremiah Metcalf	Submission (rear naked choke)	Cage Combat Fighting Championships	Fresno , California , United States
Win	10-12-1	Meaders Erik Meaders	Decision (unanimous)	King of the Cage-Misconduct	Highland, California , United States
Loss	9-12-1	Magana Brandon Magana	Decision (unanimous)	Invincible-A Means To An End	Ontario , California , United States
Draw	9-11-1	Dodge James Dodge	Draw	Gladiator Challenge	Temecula , California , United States
Loss	9-11	Arras Paul Arras	TKO	King of the Cage-Final chapter	San Jacinto , California , United States
Loss	9-10	Loughran Nate Loughran	Submission( rear naked choke )	Palace Fighting Championship	Lemoore , California , United States
Loss	9-9	Levens Justin Levens	TKO	BIB-Beatdown In Bakersfield	Bakersfield, California , United States
Loss	9-8	Fanshier James Fanshier	TKO (cut)	King of the Cage-Rapid Fire	San Jacinto , California United States
Loss	9-7	Le Cung Le	KO (punches)	Strikeforce: Revenge	San Jose , California , United States
Win	9-6	Farber Brodie Farber	Submission( triangle choke )	Pangea Fights 1- The Beginning	Hollywood , California , United States
Win	8-6	Tagle Rubin Tagle	TKO	King of the Cage 63-Final Conflict	San Jacinto , California , United States
Win	7-6	Karsky Paul Karsky	TKO (cut)	King of the Cage-Flash Point	San Jacinto , California , United States
Loss	6-6	Rollins Jared Rollins	Submission (choke)	Venom - First Strike	Huntington Beach , California , United States|
Win	6-5	Murphy Patrick Murphy	Submission (choke)	LOTC-Lords of the Cage	Anacortes , Washington , United States
Win	5-5	Vaith Louie Vaith	Decision (unanimous)	King of the Cage-Double Cross	San Jacinto , California , United States
Loss	4-5	Lynn Adam Lynn	Decision	King of the Cage 12-Cold Blood	San Jacinto , California , United States
Loss	4-4	Miller Jason Miller	Submission (rear naked choke)	Ultimate Pankration 1	Cabazon , California , United States
Win	4-3	Duran Rudy Duran	Submission ( armbar )	KOTC 11 - Domination	San Jacinto , California , United States
Win	3-3	Oscar Oscar Oscar	TKO (strikes)	KOTC 2 - Desert Storm	San Jacinto , California , United States
Loss	2-3	Shields Jake Shields	Decision	CFF-The Cobra Challenge 1999	Anza , California , United States
Loss	2-2	Textieria Hodrigua Textieria	Submission	Empire Submission Fighting: ESF One	Corona , California , United States
Win	2-1	Anderson Aaron Anderson	Decision	KK 15-Kage Kombat 15	Los Angeles , California , United States
Win	1-1	Pineda David Ray Pineda	Submission (armbar)	KK 14-Kage Kombat 14	Los Angeles , California , United States
Loss	0-1	Parisyan Karo Parisyan	Submission ( ankle lock )	KK 12-Kage Kombat 12	Los Angeles , California , United States
