Pick #	Player	Position	Nationality	NHL team	College/junior/club team
43	Stephane Morin	Center	Canada	Quebec Nordiques	Chicoutimi Sagueneens (QMJHL)
44	Jason Zent	Left Wing	United States	New York Islanders	Nichols School (USHS-NT)
45	Rob Zamuner	Left Wing	Canada	New York Rangers	Guelph Platers (OHL)
46	Jason Cirone	Centre	Canada	Winnipeg Jets	Cornwall Royals (OHL)
47	Scott Pellerin	Left Wing	Canada	New Jersey Devils	University of Maine (NCAA)
48	Bob Kellogg	Defence	United States	Chicago Blackhawks	Springfield Olympics (EJHL)
49	Louie DeBrusk	Left Wing	Canada	New York Rangers	London Knights (OHL)
50	Veli-Pekka Kautonen	Defence	Finland	Calgary Flames	IFK Helsinki (Finland)
51	Pierre Sevigny	Left Wing	Canada	Montreal Canadiens	Verdun Junior Canadiens (QMJHL)
52	Blair Atcheynum	Right Wing	Canada	Hartford Whalers	Moose Jaw Warriors (WHL)
53	Nicklas Lidstrom	Defence	Sweden	Detroit Red Wings	Västeras IK (Sweden)
54	John Tanner	Goaltender	Canada	Quebec Nordiques	Peterborough Petes (OHL)
55	Denny Felsner	Left Wing	United States	St. Louis Blues	University of Michigan (NCAA)
56	Scott Thomas	Right Wing	United States	Buffalo Sabres	Nichols School (USHS-NY)
57	Wes Walz	Centre	Canada	Boston Bruins	Lethbridge Hurricanes (WHL)
58	John Brill	Left/Right Wing	United States	Pittsburgh Penguins	Grand Rapids (USS)
59	Jim Mathieson	Defence	Canada	Washington Capitals	Regina Pats (WHL)
60	Murray Garbutt	Centre	Canada	Minnesota North Stars	Medicine Hat Tigers (WHL)
61	Jason Woolley	Defence	Canada	Washington Capitals	Michigan State University (NCAA)
62	Kris Draper	Defence	Canada	Winnipeg Jets	Canadian National team
63	Corey Lyons	Right Wing	Canada	Calgary Flames	Lethbridge Hurricanes (WHL)
