Year	Date	Home Team	Result	Visiting Team	Venue	Attendance
1990	November 25	San Francisco 49ers	17-28	Los Angeles Rams	Candlestick Park	62,633
1990	December 17	Los Angeles Rams	10-26	San Francisco 49ers	Anaheim Stadium	65,619
1991	September 22	San Francisco 49ers	27-10	Los Angeles Rams	Candlestick Park	63,871
1991	November 25	Los Angeles Rams	10-33	San Francisco 49ers	Anaheim Stadium	61,881
1992	October 4	San Francisco 49ers	27-24	Los Angeles Rams	Candlestick Park	63,071
1992	November 22	Los Angeles Rams	10-27	San Francisco 49ers	Anaheim Stadium	65,858
1993	October 31	San Francisco 49ers	40-17	Los Angeles Rams	Candlestick Park	63,417
1993	November 28	Los Angeles Rams	10-35	San Francisco 49ers	Anaheim Stadium	62,143
1994	September 18	Los Angeles Rams	19-34	San Francisco 49ers	Anaheim Stadium	56,479
1994	November 20	San Francisco 49ers	31-27	Los Angeles Rams	Candlestick Park	62,774
1995	October 22	St. Louis Rams	10-44	San Francisco 49ers	Busch Memorial Stadium	59,915
1995	November 26	San Francisco 49ers	41-13	St. Louis Rams	Candlestick Park	70,031
1996	September 8	San Francisco 49ers	34-0	St. Louis Rams	Candlestick Park	63,624
1996	October 6	St. Louis Rams	11-28	San Francisco 49ers	Trans World Dome	61,260
1997	September 7	St. Louis Rams	12-15	San Francisco 49ers	Trans World Dome	64,630
1997	October 12	San Francisco 49ers	30-10	St. Louis Rams	Candlestick park	63,825
1998	October 25	St. Louis Rams	10-28	San Francisco 49ers	Trans World Dome	58,563
1998	December 27	San Francisco 49ers	38-19	St. Louis Rams	Candlestick Park	68,386
1999	October 10	St. Louis Rams	42-20	San Francisco 49ers	Trans World Dome	65,872
1999	November 21	San Francisco 49ers	7-23	St. Louis Rams	Candlestick Park	68,193
