Week	Date	Opponent	Result	Kickoff [a ]	Game site	Attendance	Record
Week	Date	Opponent	Result	Kickoff [a ]	Game site	Attendance	Record
1	September 5, 1993	Kansas City Chiefs	L 27-3	1:00	Tampa Stadium	63,378*	0-1
2	September 12, 1993	at New York Giants	L 23-7	1:00	Giants Stadium	75,891	0-2
3	Bye	Bye	Bye	Bye	Bye	Bye	Bye
4	September 26, 1993	at Chicago Bears	L 47-17	1:00	Soldier Field	58,329	0-3
5	October 3, 1993	Detroit Lions	W 27-10	1:00	Tampa Stadium	40,794*	1-3
6	October 10, 1993	at Minnesota Vikings	L 15-0	1:00	Hubert H. Humphrey Metrodome	54,215	1-4
7	Bye	Bye	Bye	Bye	Bye	Bye	Bye
8	October 24, 1993	Green Bay Packers	L 37-14	1:00	Tampa Stadium	47,354*	1-5
9	October 31, 1993	at Atlanta Falcons	W 31-24	1:00	Georgia Dome	50,647	2-5
10	November 7, 1993	at Detroit Lions	L 23-0	1:00	Pontiac Silverdome	65,295	2-6
11	November 14, 1993	San Francisco 49ers	L 45-21	1:00	Tampa Stadium	43,835*	2-7
12	November 21, 1993	Minnesota Vikings	W 23-10	8:00	Tampa Stadium	40,848*	3-7
13	November 28, 1993	at Green Bay Packers	L 13-10	1:00	Lambeau Field	56,995	3-8
14	December 5, 1993	Washington Redskins	L 23-17	1:00	Tampa Stadium	49,035*	3-9
15	December 12, 1993	Chicago Bears	W 13-10	1:00	Tampa Stadium	56,667*	4-9
16	December 19, 1993	at Los Angeles Raiders	L 27-20	4:00	Los Angeles Memorial Coliseum	40,532	4-10
17	December 26, 1993	at Denver Broncos	W 17-10	4:00	Mile High Stadium	73,434	5-10
18	January 2, 1994	San Diego Chargers	L 32-17	4:00	Tampa Stadium	35,587*	5-11
