Circuit	Date	Pole position	Fastest Lap	Winning driver	Winning team	Winning manufacturer
Präsentation Düsseldorf	6 April	no race	no race	no race	no race	no race
Hockenheimring	13 April	Timo Scheider	Paul di Resta	Mattias Ekström	Audi Sport Team Abt Sportsline	Audi
Oschersleben	20 April	Timo Scheider	Timo Scheider	Timo Scheider	Audi Sport Team Abt	Audi
Mugello	4 May	Timo Scheider	Jamie Green	Jamie Green	Salzgitter AMG Mercedes	Mercedes
EuroSpeedway	18 May	Paul di Resta	Paul di Resta	Paul di Resta	Mercedes-Benz Bank AMG	Mercedes
Norisring	29 June	Bruno Spengler	Bruno Spengler	Jamie Green	Salzgitter AMG Mercedes	Mercedes
Zandvoort	13 July	Mattias Ekström	Tom Kristensen	Mattias Ekström	Audi Sport Team Abt Sportsline	Audi
Nürburgring Short	27 July	Tom Kristensen	Martin Tomczyk	Bernd Schneider	Original-Teile AMG Mercedes	Mercedes
Brands Hatch Indy	31 August	Timo Scheider	Timo Scheider	Timo Scheider	Audi Sport Team Abt	Audi
Catalunya Short	21 September	Bernd Schneider	Tom Kristensen	Paul di Resta	Mercedes-Benz Bank AMG	Mercedes
Le Mans Bugatti	5 October	Tom Kristensen	Paul di Resta	Mattias Ekström	Audi Sport Team Abt Sportsline	Audi
Hockenheimring	26 October	Timo Scheider	Timo Scheider	Timo Scheider	Audi Sport Team Abt	Audi
