Game	Date	Opponent	Score	Location	Record
33	Wed. Jan. 2	@ New Jersey Nets	110-95	Brendan Byrne Arena	27-6
34	Fri. Jan. 4	New York Knicks	105-94	Boston Garden	28-6
35	Mon. Jan. 7	@ New York Knicks	108-97	Madison Square Garden	29-6
36	Wed. Jan. 9	Chicago Bulls	111-108	Boston Garden	30-6
37	Fri. Jan. 11	Washington Bullets	103-101	Boston Garden	31-6
38	Sat. Jan. 12	@ Atlanta Hawks	119-111	The Omni	32-6
39	Wed. Jan. 16	Los Angeles Lakers	104-102	Boston Garden	33-6
40	Fri. Jan. 18	@ Indiana Pacers	86-91	Market Square Arena	33-7
41	Sun. Jan. 20	Philadelphia 76ers	113-97	Boston Garden	34-7
42	Wed. Jan. 23	Seattle SuperSonics	97-107	Boston Garden	34-8
43	Fri. Jan. 25	Indiana Pacers	125-94	Boston Garden	35-8
44	Sun. Jan. 27	Portland Trail Blazers	128-127	Boston Garden	36-8
45	Tue. Jan. 29	Detroit Pistons	131-130	Hartford Civic Center	37-8
46	Wed. Jan. 30	@ Philadelphia 76ers	104-122	The Spectrum	37-9
