Auction House	Year	Event	Price	GBP Price
Tokyo Auction	1992	Tokyo	525,000	326,087
Christies	1999	Pebble Beach	178,000	110,559
Brooks	2000	Hendon	129,100	129,100
Christies	2001	Pebble Beach	182,000	113,000
Bonhams	2002	Nurburgring	197,000	160,000
Wyles Hardy	2003	TWR Liquidation	95,000	95,000
RM	2003	Monterey	154,000	95,000
RM	2003	Arizona	190,000	118,000
Bonhams	2004	Carmel	175,000	109,000
Coys	2006	Nuremberg	198,000	160,000
Russo and Steele	2007	Monterey	231,000	144,000
Motor Cars LV	2008	Las Vegas	225,000	140,000
Coys	2010	Blenheim Palace	130,000	130,000
Coys	2010	Legend et Passion	175,000	160,000
RM	2011	Monterey	170,000	109,000
