Institution	Wins	Loss	Home Wins	Home Losses	Away Wins	Away Losses	Neutral Wins	Neutral Losses	Current Streak
Illinois Fighting Illini	7	7	4	2	3	2	0	3	Won 4
Indiana Hoosiers	5	7	2	3	2	4	1	0	Won 2
Iowa Hawkeyes	2	10	2	3	0	5	0	2	Lost 7
Michigan Wolverines	5	7	3	3	1	4	1	0	Won 1
Michigan State Spartans	6	7	5	1	1	5	0	1	Lost 1
Minnesota Golden Gophers	6	8	4	3	2	5	0	0	Won 2
Nebraska Cornhuskers	1	1	0	1	1	0	0	0	Won 1
Northwestern Wildcats	6	8	4	3	2	5	0	0	Lost 1
Ohio State Buckeyes	6	6	4	2	2	3	0	1	Lost 1
Penn State Nittany Lions	5	7	2	4	3	3	0	0	Lost 1
Purdue Boilermakers	6	6	4	2	2	4	0	0	Won 4
Wisconsin Badgers	6	8	4	2	1	6	1	0	Lost 2
