Player	No.(s)	Height in Ft.	Position	Years for Rockets	School/Club Team/Country
Bailey, Gus Gus Bailey	22	6-6	Guard	1974-76	Texas-El Paso
Bailey, James James Bailey	2	6-9	Forward	1982-84	Xavierian Brothers
Baker, Vin Vin Baker	42	6-11	Forward	2004-05	Hartford
Barker, Tom Tom Barker	15	6-11	Center	1978-79	Hawaii
Barkley, Charles Charles Barkley	4	6-6	Forward	1996-2000	Auburn
Barnes, Harry Harry Barnes	30	6-3	Forward	1968-69	Northeastern
Barnett, Jim Jim Barnett	33	6-4	Guard	1967-70	Oregon
Barnhill, John John Barnhill	30	6-1	Guard	1967-68	Tennessee State
Barrett, Andre Andre Barrett	12	5-10	Guard	2004-05	Seton Hall
Barry, Brent Brent Barry	17	6-7	Guard	2008-09	Oregon State
Barry, Jon Jon Barry	20	6-5	Guard	2004-06	Georgia Tech
Barry, Rick Rick Barry	2	6-8	Forward	1978-80	Miami
Battier, Shane Shane Battier	31	6-8	Forward	2006-2011	Duke
Baxter, Lonny Lonny Baxter	35	6-8	Forward	2005-06	Maryland
Behagen, Ron Ron Behagen	34	6-9	Forward	1977-78	Minnesota
Bennett, Elmer Elmer Bennett	6	6-1	Guard	1996-97	Notre Dame
Berry, Walter Walter Berry	6	6-8	Forward	1988-89	St. Johns
Block, John John Block	34	6-9	Forward	1967-71	USC
Bogans, Keith Keith Bogans	10	6-5	Guard / Forward	2005-06	Kentucky
Bond, Phil Phil Bond	30	6-2	Guard	1977-78	Louisville
Booker, Melvin Melvin Booker	9	6-1	Guard	1995-96	Missouri
Bowen, Ryan Ryan Bowen	40	6-9	Forward	2004-06	Iowa
Bowie, Anthony Anthony Bowie	25	6-6	Guard	1989-90	Oklahoma
Bradley, Alonzo Alonzo Bradley	22, 30	6-7	Forward	1977-80	Texas Southern
Braggs, Torraye Torraye Braggs	32	6-8	Forward	2003-05	Xavier
Breaux, Tim Tim Breaux	15	6-7	Guard / Forward	1994-96	Wyoming
Britt, Tyrone Tyrone Britt	31	6-4	Guard	1967-68	Johnson C. Smith
Brooks, Aaron Aaron Brooks	0	6-0	Guard	2007-2011, 2013	Oregon
Brooks, Scott Scott Brooks	1	5-11	Guard	1992-95	UC-Irvine
Brown, Chucky Chucky Brown	52	6-8	Forward	1994-96	North Carolina
Brown, Tony Tony Brown	35	6-6	Forward	1988-89	Arkansas
Brown, Tierre Tierre Brown	10	6-2	Guard	2001-02	McNesse State
Brunson, Rick Rick Brunson	9	6-4	Guard	2005-06	Temple
Bryant, Joe Joe Bryant	22	6-9	Forward / Guard	1982-83	LaSalle
Bryant, Mark Mark Bryant	2	6-9	Forward	1995-96	Seton Hall
Budinger, Chase Chase Budinger	10	6-7	Forward	2009-2012	Arizona
Bullard, Matt Matt Bullard	50	6-10	Forward	1990-94, 1996-2001	Iowa
