Week	Date	Opponent	Result	Attendance
1	September 1, 1991	Atlanta Falcons	W 14–3	74,246
2	September 8, 1991	New Orleans Saints	L 17–10	74,816
3	September 16, 1991	at Houston Oilers	L 17–7	61,058
4	September 22, 1991	Seattle Seahawks	W 20–13	71,789
5	September 29, 1991	at San Diego Chargers	W 14–13	44,907
6	October 7, 1991	Buffalo Bills	W 33–6	76,120
7	October 13, 1991	Miami Dolphins	W 42–7	76,021
8	October 20, 1991	at Denver Broncos	L 19–16	75,866
9	October 28, 1991	Los Angeles Raiders	W 24–21	77,111
10	Bye	Bye	Bye	Bye
11	November 10, 1991	at Los Angeles Rams	W 27–20	52,511
12	November 17, 1991	Denver Broncos	L 24–20	74,661
13	November 24, 1991	at Cleveland Browns	L 20–15	63,991
14	December 1, 1991	at Seattle Seahawks	W 19–6	57,248
15	December 8, 1991	San Diego Chargers	W 20–17	73,330
16	December 14, 1991	at San Francisco 49ers	L 28–14	62,672
17	December 22, 1991	at Los Angeles Raiders	W 27–21	65,144
