Team	Chassis	Engine	Driver(s)	Sponsor(s)	Rounds
A. J. Foyt Enterprises	Lola T8700	Cosworth	A. J. Foyt	Copenhagen -Gilmore	3-4, 9-10, 13, 15
A. J. Foyt Enterprises	March 86C	Cosworth	Stan Fox	Kerker Exhaust	3
A. J. Foyt Enterprises	March 86C	Cosworth	Davy Jones (R)	Skoal Classic	9, 13, 15
A. J. Foyt Enterprises	March 86C	Cosworth	Davy Jones (R)	Copenhagen -Gilmore	3
A. J. Foyt Enterprises	March 86C	Chevy V6	George Snider	Calumet Farms	3
Alex Morales Racing	March 87C	Cosworth	Johnny Rutherford	Vermont American	All
American Racing	March 86C	Buick	Jim Crawford	STP /ARS	3
American Racing	March 86C	Buick	Gordon Johncock	STP /ARS	3
Arciero Racing	March 87C	Cosworth	Fabrizio Barbazza (R)	Arciero Wines	1-13, 15
Arciero Racing	March 87C	Cosworth	Ludwig Heimrath (R)	Arciero Wines	14-15
Arciero Racing	March 85C	Cosworth	Ludwig Heimrath (R)	Arciero Wines	14-15
Arciero Racing	March 85C	Cosworth	Graham McRae	Arciero Wines	15
Bettenhausen Motorsports	March 86C	Cosworth	Tony Bettenhausen, Jr.	United Oil / Call Free	1-5, 7-12
Centerline Wheels	March	Pontiac	Sammy Swindell	Centerline Wheels	3
Curb	March 87C/ March 86C	Cosworth	Tom Sneva	Skoal	1-9
Curb	March 87C/ March 86C	Cosworth	John Andretti (R)	Skoal	10-15
Curb	March 87C/ March 86C	Cosworth	Ed Pimm	Skoal	3, 9
Dale Coyne Racing	March 86C	Chevy / Cosworth	Dale Coyne	Coyne Racing	1-2, 4-15
Dick Simon Racing	Lola T8700	Cosworth	Dick Simon	Soundesign / Mackenzie Financial	1-10, 13
Dick Simon Racing	Lola T8700	Cosworth	Wally Dallenbach, Jr. (R)	Menard's	11
Dick Simon Racing	Lola T8700	Cosworth	Ludwig Heimrath (R)	Mackenzie Financial	12
Dick Simon Racing	Lola T8700	Cosworth	John Richards (R)	Soundesign	14
Dick Simon Racing	Lola T8700	Cosworth	Jeff Wood (R)	Soundesign	15
Dick Simon Racing	Lola T8700	Cosworth	Ludwig Heimrath (R)	Mackenzie Financial	1-10
Dick Simon Racing	Lola T8700	Cosworth	Jeff Wood (R)	Spirit of Wichita	11-14
Dick Simon Racing	Lola T8700	Cosworth	Fulvio Ballabio (R)	Burago	15
Dick Simon Racing	Lola T8600/ T8700	Cosworth	John Richards (R)	Soundesign / Mackenzie Financial	5-8
Dick Simon Racing	Lola T8600	Cosworth	Ian Ashley	Mackenzie Financial	15
Doug Shierson Racing	March 87C	Cosworth	Al Unser, Jr.	Domino's Pizza	All
Galles Racing	March 87C / Lola T8700	Judd / Cosworth	Jeff MacPherson	MacHoward Leasing	All
Galles Racing	March 87C	Judd	Geoff Brabham	Team Valvoline	All
Gohr Racing	March 86C	Cosworth	Rocky Moran	Genesee Beer Wagon	1
Gohr Racing	March 86C	Cosworth	Gary Bettenhausen	Genesee Beer Wagon	2-4, 9-10
Gohr Racing	March 87C/ March 86C	Cosworth	Scott Goodyear (R)	Genesee Beer Wagon / Rothmans	6-8, 11-12, 14-15
Granatelli Racing	March 87C	Cosworth	Roberto Guerrero	True Value / STP	1-12
Granatelli Racing	March 87C	Cosworth	Al Unser	True Value / STP	13
Granatelli Racing	March 87C	Cosworth	Raúl Boesel	True Value / STP	14-15
Hemelgarn Racing	March 87C	Cosworth	Arie Luyendyk	Living Well / Provimi Veal	All
Hemelgarn Racing	March 87C	Buick	Rich Vogler	KFC / Living Well	3
Hemelgarn Racing	March 87C	Cosworth	Scott Brayton	Amway / Autostyle Cars	3, 5-6, 9-10
Hemelgarn Racing	March 86C	Buick	Johnny Parsons	KFC / Living Well	3
Interscope Racing	PC-16 / March 87C	Chevy A / Cosworth	Danny Ongais	Interscope / Panasonic	3, 9, 13, 15
Intersport	March 86C	Cosworth	Dominic Dobson	Intersport	3
JP Racing	March 86C	Cosworth	Spike Gehlhausen	JP Racing	3
Kraco Racing	March 87C	Cosworth	Michael Andretti	Kraco	All
Leader Cards Racing	March 87C	Cosworth	Randy Lewis	Toshiba / Altos/ Oracle/ Western Digital	All
Los Angeles Drywall	March 85C	Cosworth	Dick Ferguson	Los Angeles Drywall	3
Los Angeles Drywall	March 85C	Cosworth	Dick Ferguson	Los Angeles Drywall	9
Machinists Union Racing	March 87C	Cosworth	Pancho Carter	Hardee's / Machinists Union	3, 9-15
Machinists Union Racing	March 86C	Cosworth	Chip Robinson	Carteret Savings / Machinists Union	1, 6, 13
Machinists Union Racing	March 86C	Cosworth	Tom Sneva	Carteret Savings / Machinists Union	15
Machinists Union Racing	March 87C	Cosworth	Josele Garza	Schaefer/ Machinists Union	All
Machinists Union Racing	March 86C	Cosworth	Mike Nish	Schaefer/ Machinists Union	1-2
Machinists Union Racing	March 86C/ March 87C	Cosworth	Rick Miaskiewicz	Schaefer/ Machinists Union	5, 7-8, 12
Newman Teamworks	Lola T8600	Cosworth	Didier Theys (R)	Pepsi / GFE	1, 11
Newman Teamworks	Lola T8600	Cosworth	Davy Jones (R)	Pepsi / GFE	12
Newman/Haas Racing	Lola T8700	Chevy A	Mario Andretti	Hanna Car Wash	All
NFW Racing	March 86C	Cosworth	Graham McRae	NFW	11-12
Pace Racing	March 87C	Buick	Derek Daly	Schied/ Superior/ MetroLink	3
Patrick Racing	March 87C	Chevy A	Kevin Cogan	Marlboro	1-4, 6-15
Patrick Racing	March 87C	Chevy A	Emerson Fittipaldi	Marlboro	All
Penske Racing	PC-16 / March 87C	Chevy A	Danny Sullivan	Miller American	All
Penske Racing	PC-16 / March 87C	Chevy A	Rick Mears	Pennzoil Z-7	All
