Townland	Area( acres )	Barony	Civil parish	Poor law union
Agharinagh	763	East Muskerry	Inishcarra	Cork
Aghavrin	667	East Muskerry	Aghabulloge	Macroom
Aglish	569	East Muskerry	Aglish	Macroom
Aherla Beg	421	East Muskerry	Kilbonane	Bandon
Aherla More	379	East Muskerry	Kilbonane	Bandon
Annagannihy	2326	East Muskerry	Aghabulloge	Macroom
Ardamadane	237	East Muskerry	Garrycloyne	Cork
Ardrum	596	East Muskerry	Inishcarra	Cork
Aughinida	254	East Muskerry	Aghabulloge	Macroom
Ballincollig	24	East Muskerry	Kilnaglory	Cork
Ballincollig	746	East Muskerry	Carrigrohane	Cork
Ballincourneenig	385	East Muskerry	Knockavilly	Bandon
Ballineadig	1034	East Muskerry	Aglish	Macroom
Ballinguilly	298	East Muskerry	Kilnaglory	Cork
Ballinguilly	313	East Muskerry	Moviddy	Bandon
Ballinphellic	726	East Muskerry	Dunderrow	Cork
Ballyanly	498	East Muskerry	Inishcarra	Cork
Ballyburden Beg	255	East Muskerry	Kilnaglory	Cork
Ballyburden More	312	East Muskerry	Kilnaglory	Cork
Ballycunningham	641	East Muskerry	Donaghmore	Macroom
Ballygibbon	450	East Muskerry	Garrycloyne	Cork
Ballygirriha	683	East Muskerry	Donaghmore	Macroom
Ballygroman Lower	495	East Muskerry	Desertmore	Bandon
Ballygroman Upper	589	East Muskerry	Desertmore	Bandon
Ballyhank	318	East Muskerry	Kilnaglory	Cork
Ballyhennessy	142	East Muskerry	Donaghmore	Macroom
Ballyhooleen	614	East Muskerry	Ballinaboy	Cork
Ballykerwick	287	East Muskerry	Donaghmore	Macroom
Ballyleigh	445	East Muskerry	Inishkenny	Cork
Ballymacoo	243	East Muskerry	Inishcarra	Cork
Ballymartin	354	East Muskerry	Grenagh	Cork
Ballymountain	431	East Muskerry	Knockavilly	Bandon
Ballynaraha	277	East Muskerry	Garrycloyne	Cork
Ballyshoneen	524	East Muskerry	Corbally	Cork
Ballyshoneen	685	East Muskerry	Inishcarra	Cork
Ballyvodane	140	East Muskerry	Donaghmore	Macroom
Ballyvongane	237	East Muskerry	Aghinagh	Macroom
Barnagore	201	East Muskerry	Athnowen	Cork
Barrahaurin	2527	East Muskerry	Donaghmore	Macroom
Bawnatemple	181	East Muskerry	Cannaway	Macroom
Bawnnafinny	143	East Muskerry	Carrigrohanebeg	Cork
Bawnnafinny	80	East Muskerry	Garrycloyne	Cork
Beheena	255	East Muskerry	Aghinagh	Macroom
Bellmount Lower	474	East Muskerry	Moviddy	Bandon
Bellmount Upper	720	East Muskerry	Moviddy	Bandon
Belrose	454	East Muskerry	Knockavilly	Bandon
Berrings	1056	East Muskerry	Inishcarra	Cork
Blarney	206	East Muskerry	Garrycloyne	Cork
Boolypatrick	232	East Muskerry	Garrycloyne	Cork
Bridgestown	276	East Muskerry	Inishcarra	Cork
Bunkilla	393	East Muskerry	Donaghmore	Macroom
Caherbaroul	426	East Muskerry	Aghabulloge	Macroom
Callas	352	East Muskerry	Inishcarra	Cork
Cappanagraun	259	East Muskerry	Aghinagh	Macroom
Carhoo Lower	284	East Muskerry	Magourney	Macroom
Carhoo Upper	199	East Muskerry	Magourney	Macroom
Carhue	391	East Muskerry	Inishcarra	Cork
Carrigadrohid	559	East Muskerry	Aghinagh	Macroom
Carrigane	35	East Muskerry	Athnowen	Cork
