Tie no	Home team	Score	Away team	Attendance
1	Macclesfield Town	0 – 1	Stockport County	2,248
2	Carlisle United	4 – 2	Chester City	3,154
3	Morecambe	2 – 2	Port Vale	1,644
Morecambe won 4 – 2 on penalties	Morecambe won 4 – 2 on penalties	Morecambe won 4 – 2 on penalties	Morecambe won 4 – 2 on penalties	Morecambe won 4 – 2 on penalties
4	Rochdale	1 – 3	Bury	2,376
5	Doncaster Rovers	3 – 0	Oldham Athletic	4,608
6	Darlington	0 – 1	Leeds United	7,891
7	Lincoln City	2 – 5	Hartlepool United	936
8	Rotherham United	1 – 1	Grimsby Town	2,362
Grimsby Town won 4 – 2 on penalties	Grimsby Town won 4 – 2 on penalties	Grimsby Town won 4 – 2 on penalties	Grimsby Town won 4 – 2 on penalties	Grimsby Town won 4 – 2 on penalties
