Game	Date	Opponent	Result	Dolphins points	Opponents	Record	Attendance
1	Sept. 2	at Buffalo Bills	Win	9	7	1–0	69,441
2	Sept. 9	Seattle Seahawks	Win	19	10	2–0	56,233
3	Sept. 16	at Minnesota Vikings	Win	27	12	3–0	46,187
4	Sept. 23	Chicago Bears	Win	31	16	4–0	66,011
5	Sept. 30	at New York Jets	Loss	27	33	4–1	51,496
6	Oct. 8	at Oakland Raiders	Loss	3	13	4–2	52,419
7	Oct. 14	Buffalo Bills	Win	17	7	5–2	45,597
8	Oct. 21	at New England Patriots	Loss	13	28	5–3	61,096
9	Oct. 28	Green Bay Packers	Win	27	7	6–3	47,741
10	Nov. 5	Houston Oilers	Loss	6	9	6–4	70,273
11	Nov. 11	Baltimore Colts	Win	19	0	7–4	50,193
12	Nov. 18	at Cleveland Browns	Loss (OT)	24	30	7–5	80,374
13	Nov. 25	at Baltimore Colts	Win	28	24	8–5	38,016
14	Nov. 29	New England Patriots	Win	39	24	9–5	69,174
15	Dec. 9	at Detroit Lions	Win	28	10	10–5	78,087
16	Dec. 15	New York Jets	Loss	24	27	10–6	49,915
