Heat	Lane	Name	Nationality	Time
4	4	Brooke Bennett	United States	8:26.47
3	2	Yana Klochkova	Ukraine	8:29.84
3	4	Kaitlin Sandeno	United States	8:30.12
2	4	Flavia Rigamonti	Switzerland	8:30.44
4	5	Hannah Stockbauer	Germany	8:31.74
3	5	Jana Henke	Germany	8:31.86
4	3	Sachiko Yamada	Japan	8:33.06
3	7	Chen Hua	China	8:33.23
4	6	Janelle Atkinson	Jamaica	8:34.51
3	3	Kirsten Vlieghuis	Netherlands	8:35.80
2	5	Chantal Strasser	Switzerland	8:35.84
4	2	Rachel Harris	Australia	8:36.94
2	3	Hayley Lewis	Australia	8:38.75
3	6	Éva Risztov	Hungary	8:43.07
2	2	Rebecca Cooke	Great Britain	8:43.22
2	7	Karine Legault	Canada	8:43.56
3	1	Irina Ufimtseva	Russia	8:44.64
4	8	Mirjana Bosevska	Macedonia	8:46.39
2	8	Hana Černá	Czech Republic	8:47.64
1	3	Ivanka Moralieva	Bulgaria	8:52.61
1	4	Patricia Villarreal	Mexico	8:54.79
3	8	Marianna Lymperta	Greece	8:56.33
2	6	Olga Beresnyeva	Ukraine	9:00.12
1	5	Lin Chi-Chan	Chinese Taipei	9:01.09
2	1	Adi Bichman	Israel	9:01.90
1	6	Cecilia Biagioli	Argentina	9:04.02
4	1	Claudia Poll	Costa Rica	DNS
4	7	Joanne Malar	Canada	DNS
