Driver	Constructor	Laps	Time/Retired	Grid
Nelson Piquet	Williams - Honda	44	1:21:25.091	4
Stefan Johansson	McLaren - TAG	44	+ 1:39.591	8
Ayrton Senna	Lotus - Honda	43	+ 1 Lap	2
Philippe Streiff	Tyrrell - Ford	43	+ 1 Lap	22
Jonathan Palmer	Tyrrell - Ford	43	+ 1 Lap	23
Philippe Alliot	Lola - Ford	42	+ 2 Laps	21
Alain Prost	McLaren - TAG	39	Electrical	3
Martin Brundle	Zakspeed	34	Not Classified	19
Piercarlo Ghinzani	Ligier - Megatron	32	Engine	17
Adrián Campos	Minardi - Motori Moderni	28	Engine	18
Thierry Boutsen	Benetton - Ford	26	Engine	6
Nigel Mansell	Williams - Honda	25	Engine	1
Alessandro Nannini	Minardi - Motori Moderni	25	Engine	16
Derek Warwick	Arrows - Megatron	23	Turbo	13
Christian Danner	Zakspeed	21	Halfshaft	20
Gerhard Berger	Ferrari	19	Turbo	10
Teo Fabi	Benetton - Ford	18	Engine	9
Alex Caffi	Osella - Alfa Romeo	17	Engine	26
Andrea de Cesaris	Brabham - BMW	12	Engine	7
Michele Alboreto	Ferrari	10	Turbo	5
Pascal Fabre	AGS - Ford	10	Engine	25
Eddie Cheever	Arrows - Megatron	9	Throttle	15
Satoru Nakajima	Lotus - Honda	9	Turbo	14
Ivan Capelli	March - Ford	7	Engine	24
René Arnoux	Ligier - Megatron	6	Ignition	12
Riccardo Patrese	Brabham - BMW	5	Ignition	11
