No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
54/55	1/2	" Fun Run "‡	Greg Daniels	Greg Daniels	September27,2007	4001/4002	9.7
56/57	3/4	" Dunder Mifflin Infinity "‡	Craig Zisk	Michael Schur	October4,2007	4003/4004	8.49
58/59	5/6	" Launch Party "‡	Ken Whittingham	Jennifer Celotta	October11,2007	4005/4006	8.91
60/61	7/8	" Money "‡	Paul Lieberstein	Paul Lieberstein	October18,2007	4007/4008	8.50
62	9	" Local Ad "	Jason Reitman	B. J. Novak	October25,2007	4009	8.98
63	10	" Branch Wars "	Joss Whedon	Mindy Kaling	November1,2007	4010	8.39
64	11	" Survivor Man "	Paul Feig	Steve Carell	November8,2007	4011	8.29
65	12	" The Deposition "	Julian Farino	Lester Lewis	November15,2007	4012	8.86
66	13	" Dinner Party "	Paul Feig	Gene Stupnitsky & Lee Eisenberg	April10,2008	4013	9.22
67	14	" Chair Model "	Jeffrey Blitz	B. J. Novak	April17,2008	4014	9.81
68	15	" Night Out "	Ken Whittingham	Mindy Kaling	April24,2008	4015	7.56
69	16	" Did I Stutter? "	Randall Einhorn	Brent Forrester & Justin Spitzer	May1,2008	4016	7.67
70	17	" Job Fair "	Tucker Gates	Lee Eisenberg & Gene Stupnitsky	May8,2008	4017	7.22
