Game	February	Opponent	Score	Record
53	1	Washington Capitals	4 - 3 OT	28-17-8
54	4	@ Montreal Canadiens	7 - 5	28-18-8
55	5	Minnesota North Stars	5 - 3	28-19-8
56	9	Winnipeg Jets	4 - 3	29-19-8
57	12	Edmonton Oilers	3 - 1	29-20-8
58	14	@ Philadelphia Flyers	3 - 1	29-21-8
59	17	Toronto Maple Leafs	10 - 6	29-22-8
60	18	@ Pittsburgh Penguins	5 - 3	30-22-8
61	20	New Jersey Devils	7 - 4	31-22-8
62	22	Philadelphia Flyers	6 - 4	31-23-8
63	25	@ Quebec Nordiques	7 - 2	32-23-8
64	27	Los Angeles Kings	6 - 4	33-23-8
