County	Live births 2006	GFR 2006	TFR 2006	Whites as % of Pop.
Rutland UA	391	61.7	2.81	98.10%
Blackburn with Darwen UA	2315	78.3	2.49	77.90%
Slough UA	2317	85.0	2.47	63.60%
Luton UA	3325	81.9	2.43	71.90%
Peterborough UA	2630	78.0	2.42	89.70%
Milton Keynes UA	3415	71.9	2.20	90.70%
Hartlepool UA	1188	65.4	2.16	98.80%
Southend-on-Sea UA	2103	68.0	2.14	95.80%
Darlington UA	1282	65.1	2.12	97.90%
North Lincolnshire UA	1843	62.3	2.12	97.50%
Northamptonshire	8588	64.8	2.10	95.10%
North East Lincolnshire UA	1942	61.9	2.08	98.60%
Stoke-on-Trent UA	3345	67.1	2.08	94.80%
Halton UA	1627	64.9	2.07	98.80%
North Somerset UA	2107	61.2	2.04	98.60%
Telford and Wrekin UA	2135	62.5	2.03	94.80%
East Sussex	4989	59.5	2.03	96.50%
Middlesbrough UA	1878	64.4	2.02	93.70%
Thurrock UA	2139	66.0	2.02	95.30%
West Berkshire UA	1828	62.3	2.02	97.40%
Swindon UA	2555	65.1	2.02	95.20%
Blackpool UA	1655	61.0	2.00	98.40%
Stockton-on-Tees UA	2385	61.5	1.99	97.20%
Leicester UA	4747	68.7	1.99	63.80%
Derby UA	3269	65.2	1.98	87.40%
Wiltshire	5002	59.5	1.98	97.50%
Outer London	69498	67.4	1.97	74.09%
West Yorkshire (Met County)	29155	63.9	1.96	88.60%
Suffolk	7696	60.3	1.96	97.20%
Kent	16243	60.8	1.95	96.90%
West Sussex	8452	60.6	1.95	96.60%
Greater Manchester (Met County)	34864	63.5	1.94	91.10%
Torbay UA	1294	56.9	1.94	98.80%
Somerset	5280	57.4	1.94	98.50%
Kingston upon Hull, City of UA	3500	64.6	1.93	97.70%
Poole UA	1511	58.9	1.93	98.20%
Medway UA	3257	60.8	1.92	94.60%
Buckinghamshire	5817	61.3	1.92	91.70%
Dorset	3473	54.5	1.92	98.10%
Hertfordshire	13499	62.2	1.90	88.80%
Cornwall and Isles of Scilly	5173	57.0	1.90	99.00%
Redcar and Cleveland UA	1528	56.6	1.89	98.90%
Essex	15370	59.3	1.89	96.80%
North Yorkshire	5744	54.8	1.88	97.90%
Bedfordshire	4943	60.3	1.88	86.30%
Hampshire	14195	58.3	1.88	96.70%
South Gloucestershire UA	2937	58.8	1.88	97.60%
Lancashire	13249	57.7	1.87	93.40%
Cheshire	7511	57.3	1.86	98.30%
Derbyshire	8008	56.1	1.86	96.00%
Herefordshire, County of UA	1710	54.6	1.86	99.10%
South Yorkshire (Met County)	15688	59.0	1.85	95.00%
Lincolnshire	6830	55.0	1.84	98.50%
Surrey	13085	60.6	1.84	95.00%
Shropshire	2779	54.7	1.83	97.30%
Worcestershire	6025	56.9	1.83	97.50%
Gloucestershire	6211	56.3	1.83	97.30%
East Riding of Yorkshire UA	3071	52.9	1.82	98.30%
Isle of Wight UA	1282	54.0	1.82	98.70%
Northumberland	2997	53.2	1.81	99.00%
Norfolk	8518	56.7	1.81	98.50%
Reading UA	2246	64.3	1.81	86.80%
Plymouth UA	3011	58.0	1.81	NA
Staffordshire	8522	54.4	1.80	97.00%
Oxfordshire	7992	59.4	1.80	95.10%
Warrington UA	2231	55.5	1.79	97.90%
Nottinghamshire	8311	55.4	1.79	84.90%
Bracknell Forest UA	1484	59.0	1.79	95.10%
Windsor and Maidenhead UA	1724	60.6	1.79	92.40%
Devon	6802	53.1	1.77	98.70%
Durham	5402	54.0	1.76	98.60%
Cumbria	4917	53.3	1.76	99.30%
Merseyside (Met County)	15786	55.0	1.75	97.10%
Leicestershire	6664	54.0	1.75	85.00%
Warwickshire	6034	56.3	1.74	95.60%
Bristol, City of UA	5702	59.5	1.74	91.80%
Inner London	51385	62.8	1.73	66.09%
Tyne and Wear (Met County)	12524	53.8	1.67	96.80%
Portsmouth UA	2471	56.2	1.67	93.70%
Nottingham UA	3909	56.0	1.65	84.90%
Wokingham UA	1725	53.6	1.64	93.90%
Cambridgeshire	6641	53.5	1.61	94.60%
Bournemouth UA	1863	54.5	1.61	96.70%
Bath and North East Somerset UA	1785	49.9	1.60	97.20%
Southampton UA	2907	55.1	1.58	92.40%
York UA	2010	48.0	1.49	91.80%
