District	Counties Represented	Delegate	Party	First Elected	Committee
01.1 1A	Allegany , Garrett	Beitzel, Wendell R. Wendell R. Beitzel	Republican	2006	Health and Government Operations
01.2 1B	Allegany	Kelly, Kevin Kevin Kelly	Democratic	1986	Judiciary
01.3 1C	Allegany, Washington	Myers, LeRoy E. Jr. LeRoy Myers	Republican	2002	Appropriations
02.1 2A	Washington	Serafini Robert A. McKee	Republican	2008	Ways and Means
02.2 2B	Washington	Shank, Christopher B. Chris Shank	Republican	1998	Judiciary
02.3 2C	Washington	Donoghue, John P. John P. Donoghue	Democratic	1990	Health and Government Operations
03.1 3A	Frederick	Clagett, Galen R. Galen R. Clagett	Democratic	2002	Appropriations
03.1 3A	Frederick	Hecht, Sue Sue Hecht	Democratic	1994	Economic Matters
03.2 3B	Frederick, Washington	Weldon Richard B. Weldon	Republican	2010	Health and Government Operations
04.1 4A	Frederick	Bartlett, Joseph R. Joseph R. Bartlett	Republican	1998	Ways and Means
04.1 4A	Frederick	Stull, Paul S. Paul S. Stull	Republican	1994	Environmental Matters
04.2 4B	Carroll , Frederick	Elliott, Donald B. Donald B. Elliott	Republican	1986	Health and Government Operations
05.1 5A	Carroll	Shewell, Tanya T. Tanya Shewell	Republican	2004	Environmental Matters
05.1 5A	Carroll	Stocksdale, Nancy R. Nancy Stocksdale	Republican	1994	Appropriations
05.2 5B	Carroll, Baltimore County	Kach, Wade Wade Kach	Republican	1974	Health and Government Operations
06.0 6	Baltimore County	Minnick, Joseph J. Joseph J. Minnick	Democratic	1988	Economic Matters
06.0 6	Baltimore County	Olszewski, John A. Jr. John Olszewski	Democratic	2006	Ways and Means
06.0 6	Baltimore County	Weir, Michael H. Jr. Michael H. Weir, Jr.	Democratic	2002	Environmental Matters
07.0 7	Baltimore County , Harford	Impallaria, Richard K. Richard Impallaria	Republican	2002	Economic Matters
07.0 7	Baltimore County , Harford	Jennings, J. B. J. B. Jennings	Republican	2002	Ways and Means
