Date	Opponent	Score	Loss	Record
September 1	Expos	11–3	Bottenfield (4–10)	50–84
September 3	Pirates	7–6	Dewey (1–1)	51–84
September 4	Pirates	10–4	Wakefield (4–9)	52–84
September 5	Pirates	4–1	Walk (12–13)	53–84
September 6	@ Expos	4–3	Reed (7–5)	53–85
September 7	@ Expos	4–3	Moore (2–1)	53–86
September 8	@ Expos	6–1	Reynoso (9–10)	53–87
September 9	@ Pirates	10–7	Johnston (2–3)	54–87
September 10	@ Pirates	9–8	Minor (7–6)	55–87
September 11	@ Pirates	3–2	Wakefield (4–10)	56–87
September 12	@ Pirates	4–3	Munoz (1–2)	56–88
September 14	Astros	9–4	Drabek (8–16)	57–88
September 14	Astros	6–5	Hernandez (3–5)	58–88
September 15	Astros	6–4	Williams (4–4)	59–88
September 16	Astros	6–3	Jones (1–2)	60–88
September 17	Dodgers	12–3	Candiotti (8–8)	61–88
September 18	Dodgers	9–0	Hurst (0–2)	61–89
September 19	Dodgers	8–5	Martínez (10–4)	62–89
September 20	Padres	11–7	Harris (11–15)	62–90
September 21	Padres	15–4	Worrell (1–7)	63–90
September 22	Padres	11–4	Benes (15–14)	64–90
September 24	Reds	9–2	Ayala (6–10)	65–90
September 25	Reds	6–0	Harris (11–16)	65–91
September 26	Reds	12–7	Luebbers (2–5)	66–91
September 28	@ Giants	6–4	Nied (5–8)	66–92
September 29	@ Giants	5–3	Torres (3–4)	67–92
