Capital	Prefecture	Region	Island	Pop. ¹
Akita	Akita	Tōhoku	Honshū	327,651
Aomori	Aomori	Tōhoku	Honshū	304,657
Chiba	Chiba	Kantō	Honshū	943,568
Fukui	Fukui	Chūbu	Honshū	268,210
Fukuoka	Fukuoka	Kyūshū	Kyūshū	1,434,650
Fukushima	Fukushima	Tōhoku	Honshū	288,602
Gifu	Gifu	Chūbu	Honshū	411,753
Hiroshima	Hiroshima	Chūgoku	Honshū	1,164,885
Kagoshima	Kagoshima	Kyūshū	Kyūshū	604,268
Kanazawa	Ishikawa	Chūbu	Honshū	455,952
Kobe Kobe	Hyōgo	Kansai	Honshū	1,532,305
Kochi Kōchi	Kochi Kōchi	Shikoku	Shikoku	345,418
Kofu Kōfu	Yamanashi	Chūbu	Honshū	198,757
Kumamoto	Kumamoto	Kyūshū	Kyūshū	670,014
Kyoto	Kyoto	Kansai	Honshū	1,468,065
Maebashi	Gunma	Kantō	Honshū	317,167
Matsue	Shimane	Chūgoku	Honshū	195,008
Matsuyama	Ehime	Shikoku	Shikoku	514,771
Mito	Ibaraki	Kantō	Honshū	263,299
Miyazaki	Miyazaki	Kyūshū	Kyūshū	368,984
Morioka	Iwate	Tōhoku	Honshū	298,959
Nagano	Nagano	Chūbu	Honshū	377,328
Nagasaki	Nagasaki	Kyūshū	Kyūshū	446,551
Nagoya	Aichi	Chūbu	Honshū	2,243,564
Naha	Okinawa	Kyūshū	Ryūkyū Islands	313,436
Nara	Nara	Kansai	Honshū	366,863
Niigata	Niigata	Chūbu	Honshū	811,613
Oita Ōita	Oita Ōita	Kyūshū	Kyūshū	467,617
Okayama	Okayama	Chūgoku	Honshū	700,646
Osaka	Osaka	Kansai	Honshū	2,649,601
Otsu Ōtsu	Shiga	Kansai	Honshū	330,044
Saga	Saga	Kyūshū	Kyūshū	239,003
Saitama	Saitama	Kantō	Honshū	1,197,471
Sapporo	Hokkaidō	Hokkaidō	Hokkaidō	1,896,704
Sendai	Miyagi	Tōhoku	Honshū	1,029,576
Shinjuku	Tokyo	Kantō	Honshū	314,262
Shizuoka	Shizuoka	Chūbu	Honshū	709,888
Takamatsu	Kagawa	Shikoku	Shikoku	417,671
Tokushima	Tokushima	Shikoku	Shikoku	265,248
Tottori	Tottori	Chūgoku	Honshū	199,319
Toyama	Toyama	Chūbu	Honshū	420,584
Tsu	Mie	Kansai	Honshū	287,849
Utsunomiya	Tochigi	Kantō	Honshū	508,114
Wakayama	Wakayama	Kansai	Honshū	371,504
Yamagata	Yamagata	Tōhoku	Honshū	254,724
Yamaguchi	Yamaguchi	Chūgoku	Honshū	191,714
Yokohama	Kanagawa	Kantō	Honshū	3,643,641
