Position	Number	Name	Height	Weight	Class	Hometown	Games↑
QB	5	Mike Hartline	6'6"	205	So.	Canton, Ohio	6
TB	20	Derrick Locke	5'10"	190	So.	Hugo, Oklahoma	1
FB	38	John Conner	5'11"	230	Jr.	West Chester, Ohio	6
WR	12	Randall Cobb	5'11"	185	Fr.	Alcoa, Tennessee	4
WR	22	Aaron Boyd	6'3"	210	Fr.	Lexington, Kentucky	0
TE	80	T.C. Drake	6'6"	242	Jr.	Bardstown, Kentucky	5
LT	79	Garry Williams	6'3"	300	Sr.	Louisville, Kentucky	4
LG	72	Zipp Duncan	6'5"	295	Jr.	Magnolia, Kentucky	6
C	61	Jorge González	6'3"	303	Jr.	Tampa Bay, Florida	6
RG	73	Jess Beets	6'2"	293	Sr.	Dove Canyon, California	6
RT	72	Brad Durham	6'4"	310	So.	Mount Vernon, Kentucky	1
