Date	Visitor	Score	Home	Decision	Attendance	Record
December 1	Calgary	2 – 4	Detroit	Joseph	20,066	13–7–3–1
December 3	Anaheim	1 – 2	Detroit	Joseph	18,504	14–7–3–1
December 5	Detroit	5 – 3	Phoenix	Joseph	15,189	15–7–3–1
December 6	Detroit	3 – 3	Dallas	Joseph	18,532	15–7–4–1
December 8	St. Louis	3 – 4	Detroit	Joseph	20,058	16–7–4–1
December 12	Minnesota	3 – 2	Detroit	Joseph	20,058	16–8–4–1
December 14	Columbus	4 – 6	Detroit	Joseph	20,058	17–8–4–1
December 17	Detroit	2 – 2	NY Islanders	Legace	14,884	17–8–5–1
December 19	Dallas	1 – 1	Detroit	Legace	20,058	17–8–6–1
December 21	NY Rangers	2 – 3	Detroit	Legace	20,058	18–8–6–1
December 23	Detroit	1 – 0	Columbus	Joseph	18,136	19–8–6–1
December 26	Columbus	2 – 4	Detroit	Joseph	20,058	20–8–6–1
December 28	Detroit	4 – 2	Nashville	Legace	17,113	21–8–6–1
December 29	Detroit	2 – 2	Dallas	Joseph	18,532	21–8–7–1
December 31	St. Louis	1 – 5	Detroit	Joseph	20,058	22–8–7–1
