January	February	March	April	June	July	August	September	October	November	December
Jill Taylor	Linda Forsythe	Chris Koren	Barbara Hillary	Elaine Morton	Carol Willis	Sharon Clark	Debbie Ellison	Madeleine Collinson & Mary Collinson	Avis Miller	Carol Imhof
Liv Lindeland	Willy Rey	Cynthia Hall	Chris Cranston	Lieko English	Heather Van Every	Cathy Rowland	Crystal Smith	Claire Rambeau	Danielle de Vabre	Karen Christy
Marilyn Cole	P. J. Lansing	Ellen Michaels	Vicki Peters	Debbie Davis	Carol O'Neal	Linda Summers	Susan Miller	Sharon Johansen	Lenna Sjooblom	Mercy Rooney
Miki Garcia	Cyndi Wood	Bonnie Large	Julie Woodson	Ruthy Ross	Martha Smith	Phyllis Coleman	Geri Glass	Valerie Lane	Monica Tidwell	Christine Maddox
Nancy Cameron	Francine Parks	Pamela Zinszer	Marlene Morrow	Sandy Johnson	Carol Vitale	Jean Manson	Kristine Hanson	Ester Cordet	Bebe Buell	Janice Raymond
Lynnda Kimball	Laura Misch	Ingeborg Sorensen	Victoria Cunningham	Azizi Johari	Lynn Schiller	Lillian Müller	Mesina Miller	Jill De Vries	Janet Lupo	Nancie Li Brandi
Daina House	Laura Lyons	Ann Pennington	Denise Michele	Debra Peterson	Deborah Borkman	Linda Beatty	Whitney Kaine	Hope Olson	Patti McGuire	Karen Hafter
Susan Lynn Kiger	Star Stowe	Nicki Thomas	Lisa Sohm	Virve Reid	Sondra Theodore	Julia Lyndon	Debra Jo Fondren	Kristine Winder	Rita Lee	Ashley Cox
Debra Jensen	Janis Schmitt	Christina Smith	Pamela Jean Bryant	Gail Stanton	Karen Morton	Vicki Witt	Rosanne Katon	Marcy Hanson	Monique St. Pierre	Janet Quist
Candy Loving	Lee Ann Michelle	Denise McConnell	Missy Cleveland	Louann Fernald	Dorothy Mays	Dorothy Stratten	Vicki McCarty	Ursula Buchfellner	Sylvie Garant	Candace Collins
