Rank	Time	Athlete	Nation	Date	Race
1	30:21	Paula Radcliffe	United Kingdom	23 February 2003	World's Best 10K
2	30:27	Isabella Ochichi	Kenya	26 March 2005	Crescent City Classic
3	30:29	Asmae Leghzaoui	Morocco	8 June 2002	New York Mini 10K
4	30:32	Lornah Kiplagat	Kenya	4 July 2002	Peachtree Road Race
5	30:38	Joyce Chepkirui	Kenya	4 September 2011	Tilburg 10K
6	30:39	Liz McColgan	United Kingdom	11 March 1989	Red Lobster Classic
7=	30:45	Lineth Chepkurui	Kenya	3 April 2010	Crescent City Classic
7=	30:45+	Mary Jepkosgei Keitany	Kenya	18 February 2011	Ras Al Khaimah Half Marathon
9	30:47	Vivian Jepkemoi Cheruiyot	Kenya	26 February 2012	World's Best 10K
10	30:48	Linet Chepkwemoi Masai	Kenya	12 June 2010	New York Mini 10K
