Round	Clubs remaining	Clubs involved	Winners from previous round	New entries this round	Leagues entering at this round
Extra Preliminary Round	762	406	none	406	Levels 9 and 10 in football league pyramid
Second Round Qualifying	276	160	116	44	Conference North Conference South
Third Round Qualifying	196	80	80	none	none
Fourth Round Qualifying	156	64	40	24	Conference National
First Round Proper	124	80	32	48	Football League One Football League Two
Second Round Proper	84	40	40	none	none
Third Round Proper	64	64	20	44	Premier League Football League Championship
Fourth Round Proper	32	32	32	none	none
Fifth Round Proper	16	16	16	none	none
Sixth Round Proper	8	8	8	none	none
Semi-Finals	4	4	4	none	none
