Round	Pick	Player	Nationality	College/Junior/Club Team
1	2.	Tom Lysiak	Canada	Medicine Hat Tigers ( WCHL )
1	16.	Vic Mercredi	Canada	New Westminster Bruins ( WCHL )
2	21.	Eric Vail	Canada	Sudbury Wolves ( OHA )
4	53.	Dean Talafous	United States	Wisconsin ( NCAA )
5	69.	John Flesch	Canada	Lake Superior ( NCAA )
6	85.	Ken Houston	Canada	Chatham Maroons ( SOJHL )
7	101.	Tom Machowski	United States	Wisconsin ( NCAA )
8	117.	Bob Law	Canada	North Dakota ( NCAA )
9	130.	Bob Bilodeau	Canada	New Westminster Bruins ( WCHL )
10	148.	Glen Surbey	Canada	Loyola College ( CIAU )
10	149.	Guy Ross	Canada	Sherbrooke Beavers ( QMJHL )
11	162.	Greg Fox	Canada	University of Michigan ( NCAA )
