Original NFL team	Player	Pos.	College	Conf.
Baltimore Ravens	Dannell Ellerbe Category:Articles with hCards	LB	Georgia	SEC
Carolina Panthers	Garry Williams Category:Articles with hCards	OT	Kentucky	SEC
Chicago Bears	Kahlil Bell Category:Articles with hCards	RB	UCLA	Pac-10
Cincinnati Bengals	Quan Cosby Category:Articles with hCards	WR	Texas	Big 12
Cincinnati Bengals	Tom Nelson Category:Articles with hCards	S	Illinois State	MVFC
Dallas Cowboys	Kevin Ogletree Category:Articles with hCards	WR	Virginia	ACC
Green Bay Packers	Graham Harrell Category:Articles with hCards	QB	Texas Tech	Big 12
Houston Texans	Arian Foster Category:Articles with hCards †	RB	Tennessee	SEC
Indianapolis Colts	Jacob Lacey Category:Articles with hCards	CB	Oklahoma State	Big 12
Indianapolis Colts	Tim Masthay Category:Articles with hCards	P	Kentucky	SEC
Jacksonville Jaguars	Russell Allen Category:Articles with hCards	LB	San Diego State	MWC
Kansas City Chiefs	Jovan Belcher Category:Articles with hCards	LB	Maine	CAA
Kansas City Chiefs	Tom Crabtree Category:Articles with hCards	TE	Miami	MAC
New England Patriots	Brian Hoyer Category:Articles with hCards	QB	Michigan State	Big Ten
New Orleans Saints	Jonathan Casillas Category:Articles with hCards	LB	Wisconsin	Big Ten
New Orleans Saints	P.J. Hill Category:Articles with hCards	RB	Wisconsin	Big Ten
New Orleans Saints	Jermey Parnell Category:Articles with hCards	OT	Mississippi	SEC
New York Giants	Bruce Johnson Category:Articles with hCards	CB	Miami (FL)	ACC
New York Jets	Jamaal Westerman Category:Articles with hCards	LB	Rutgers	Big East
Philadelphia Eagles	Antonio Dixon Category:Articles with hCards	DT	Miami (FL)	ACC
Pittsburgh Steelers	Ramon Foster Category:Articles with hCards	OL	Tennessee	SEC
Pittsburgh Steelers	Isaac Redman Category:Articles with hCards	RB	Bowie State	N/A
San Francisco 49ers	Alex Boone Category:Articles with hCards	OL	Ohio State	Big Ten
Seattle Seahawks	Michael Bennett Category:Articles with hCards	DT	Texas A&M	Big 12
Washington Redskins	Chase Daniel Category:Articles with hCards	QB	Missouri	Big 12
Washington Redskins	Kyle DeVan Category:Articles with hCards	G	Oregon State	Pac-10
Oakland Raiders	Desmond Bryant Category:Articles with hCards	DT	Harvard	Ivy
Washington Redskins	Darrel Young Category:Articles with hCards	RB	Villanova	CAA
