Province	Swimsuit	Evening Gown	Interview	Average
Monte Plata	9.51	9.74	9.64	9.630
San José de Ocoa	9.83	9.47	9.29	9.530
Distrito Nacional	9.55	9.11	9.37	9.343
Valverde	9.73	8.91	8.56	9.067
San Cristóbal	9.05	8.97	9.10	9.040
Santo Domingo Este	8.99	8.90	8.93	8.940
Santiago	8.85	8.25	9.52	8.873
Duarte	8.53	8.49	8.81	8.610
Com. Dom. En Estados Unidos	8.43	8.52	8.50	8.483
La Vega	8.82	8.01	8.31	8.380
Peravia	8.33	8.39	8.29	8.337
Santo Domingo Norte	7.56	8.00	8.97	8.177
San Pedro de Macorís	8.10	8.14	8.09	8.110
Hermanas Mirabal	7.99	7.91	7.82	7.907
Monseñor Nouel	7.56	7.84	7.98	7.793
Santo Domingo Oeste	7.60	7.71	7.73	7.680
La Altagracia	7.66	7.61	7.68	7.650
Barahona	7.53	7.73	7.49	7.563
Dajabón	7.49	7.48	7.29	7.420
La Romana	7.35	7.39	7.33	7.357
Monte Cristi	7.27	7.15	7.16	7.193
Hato Mayor	7.00	7.01	7.00	7.003
