Call sign	Frequency	City of License	Owner	Format
KPLU	0 88.5 FM	Tacoma	Pacific Lutheran University	Public Radio / Jazz
KNHC	0 89.5 FM	Seattle	Seattle Public Schools	Dance
KEXP	0 90.3 FM	Seattle	University of Washington	Eclectic
KBCS	0 91.3 FM	Bellevue	Bellevue College	Variety Music/News
KQMV	0 92.5 FM	Bellevue	Sandusky	Top-40
KUBE	0 93.3 FM	Seattle	Clear Channel	CHR-Rhythmic
KMPS	0 94.1 FM	Seattle	CBS	Country
KUOW	0 94.9 FM	Seattle	University of Washington	NPR / News / Talk
KJR	0 95.7 FM	Seattle	Clear Channel	Classic Hits
KJAQ	0 96.5 FM	Seattle	CBS	Adult Hits
KIRO	0 97.3 FM	Tacoma	Bonneville Communications	News / Talk
KING	0 98.1 FM	Seattle	Seattle Symphony	Classical
KCLK	0 98.9 FM	Seattle	Sandusky	Modern AC
KISW	0 99.9 FM	Seattle	Entercom	Active Rock
KKWF	0 100.7 FM	Seattle	Entercom	Country
KPLZ	0 101.5 FM	Seattle	Sinclair	HOT-AC
KZOK	0 102.5 FM	Seattle	CBS	Classic Rock
KHTP	0 103.7 FM	Tacoma	Entercom	Rhythmic AC
KMCQ	0 104.5 FM	Covington	First Broadcasting	Classic Hits
KCMS	0 105.3 FM	Edmonds	Christa Media	Contemporary Christian
KBKS	0 106.1 FM	Tacoma	Clear Channel	Top-40
KRWM	0 106.9 FM	Bremerton	Sandusky	Adult Contemporary
KNDD	0 107.7 FM	Seattle	Entercom	Alternative
