No. in series	No. in season	Title	Directed by	Written by	Original air date
337	1	"Till Death Do Us Part"	Cameron Welsh	Louise Crane-Bowes	28February2006
338	2	"The Real Thing"	Bill Hughes	John Banas	7March2006
339	3	"Moment of Truth"	Cameron Welsh	Sean Nash	14March2006
340	4	"No Way Out"	Robert Marchand	Faith McKinnon	21March2006
341	5	"The Things We Do"	Lynn Hegarty	Kevin Roberts	28March2006
342	6	"Facing the Music"	Jean-Pierre Mignon	Charlie Strachan	4April2006
343	7	"Behind Closed Doors"	Cameron Welsh	Chris Roache	11April2006
344	8	"The Mercy Seat"	Peter Fisk	Peter Gawler	18April2006
345	9	"Shadows of the Heart"	Shawn Seet	Sam Meikle	25April2006
346	10	"Just Desserts"	Jean-Pierre Mignon	Tim Gooding	2May2006
347	11	"Brothers in Arms"	Nicholas Buffalo	Fiona Kelly	9May2006
348	12	"Wait and See"	Lynn Hegarty	John Banas	16May2006
349	13	"Getting to Know You"	Peter Fisk	Sean Nash	23May2006
350	14	"Sink or Swim"	Jean-Pierre Mignon	Suzanne Hawley	30May2006
351	15	"The Way of It"	Catherine Millard	Sally Webb & Charlie Strachan	6June2006
352	16	"An Apple a Day"	Bill Hughes	Charlie Strachan & Sally Webb	6June2006
353	17	"A Rock and a Hard Place"	Catherine Roden	Charlie Strachan & Sally Webb	13June2006
354	18	"One for the Road"	Lynn Hegarty	Peter Gawler	20June2006
355	19	"By Choice or By Chance"	Catherine Millard	Margaret Wilson	27June2006
356	20	"Tough Love"	Bill Hughes	Sam Meikle	4July2006
357	21	"When Duty Calls"	Cameron Welsh	Chris Roache	11July2006
358	22	"Two by Two"	John Banas	Chris Roache	18July2006
359	23	"Drawing the Line"	Pino Amenta	Sean Nash	25July2006
360	24	"Truth Hurts"	Bill Hughes	Louise Crane-Bowes	1August2006
361	25	"Extreme Measures"	Lynn Hegarty	Fiona Kelly	8August2006
362	26	"Mind Games"	Cameron Welsh	Charlie Strachan	15August2006
363	27	"One Wrong Step"	Pino Amenta	Sally Webb	22August2006
364	28	"Private Lives"	Robert Marchand	Peter Gawler	29August2006
365	29	"The Other Man's Shoes"	Peter Fisk	Margaret Wilson	5September2006
366	30	"To the Ends of the Earth"	Martin Sacks	Sam Meikle	12September2006
367	31	"Ain't Love Grand"	Daina Reid	Kevin Roberts	19September2006
368	32	"Happy Returns"	Nicholas Buffalo	John Banas	26September2006
369	33	"Dead Girl Walking"	Jeffrey Walker	Sean Nash	3October2006
370	34	"Contact"	Cameron Welsh	Andrew Kelly	10October2006
371	35	"Where the Truth Lies"	Kevin Carlin	Fiona Kelly	17October2006
372	36	"Jaws of Death"	Bill Hughes	Jeff Truman	24October2006
373	37	"Love, Pain & the Whole Damn Thing"	Peter Fisk	Blake Ayshford	31October2006
374	38	"Breaking Point"	Cameron Welsh	Peter Gawler	7November2006
375	39	"Love & Hate"	Tony Krawitz	Sally Webb	14November2006
