Week	Date	Opponent	Result	Channel	Attendance
1	September 11, 2005	Arizona Cardinals	W 42–19	FOX 4:15	78,387
2	September 19, 2005	at New Orleans Saints	W 27–10	ABC 7:30	68,031
3	September 25, 2005	at San Diego Chargers	L 45–23	ESPN 8:30	65,373
4	October 2, 2005	St. Louis Rams	W 44–24	FOX 1:00	78,453
5	Bye	Bye	Bye	Bye	Bye
6	October 16, 2005	at Dallas Cowboys	L 16–13	FOX 1:00	62,278
7	October 23, 2005	Denver Broncos	W 24–23	CBS 4:15	78,516
8	October 30, 2005	Washington Redskins	W 36–0	FOX 1:00	78,630
9	November 6, 2005	at San Francisco 49ers	W 24–6	FOX 4:15	63,820
10	November 13, 2005	Minnesota Vikings	L 24–21	FOX 1:00	78,637
11	November 20, 2005	Philadelphia Eagles	W 27–17	FOX 1:00	78,626
12	November 27, 2005	at Seattle Seahawks	L 24–21	FOX 4:15	67,102
13	December 4, 2005	Dallas Cowboys	W 17–10	FOX 1:00	78,645
14	December 11, 2005	at Philadelphia Eagles	W 26–23	FOX 1:00	67,443
15	December 17, 2005	Kansas City Chiefs	W 27–17	CBS 4:15	78,625
16	December 24, 2005	at Washington Redskins	L 35–20	FOX 1:00	90,477
17	December 31, 2005	at Oakland Raiders	W 30–21	ESPN 8:30	44,594
Playoffs	Playoffs	Playoffs	Playoffs	Playoffs	Playoffs
Wild Card	January 8, 2006	Carolina Panthers	L 23–0	FOX 1:00	79,378
