Pick	Player	Nationality	New WNBA Team	Former WNBA Team	College/Country/Team
1	Carla Thomas (F)	United States	Atlanta Dream	Chicago Sky	Vanderbilt
2	Erika DeSouza (F)	Brazil	Atlanta Dream	Connecticut Sun	Brazil
3	Katie Feenstra (C)	United States	Atlanta Dream	Detroit Shock	Liberty
4	Roneeka Hodges (F)	United States	Atlanta Dream	Houston Comets	Florida State
5	Ann Strother (G)	United States	Atlanta Dream	Indiana Fever	Connecticut
6	LaToya Thomas (G)	United States	Atlanta Dream	Los Angeles Sparks	Mississippi State
7	Kristen Mann (F)	United States	Atlanta Dream	Minnesota Lynx	UC Santa Barbara
8	Ann Wauters (C)	Belgium	Atlanta Dream	New York Liberty	Belgium
9	Jennifer Lacy (F)	United States	Atlanta Dream	Phoenix Mercury	Pepperdine
10	Kristin Haynie (G)	United States	Atlanta Dream	Sacramento Monarchs	Michigan State
11	Chantelle Anderson (C)	United States	Atlanta Dream	San Antonio Silver Stars	Vanderbilt
12	Betty Lennox (G)	United States	Atlanta Dream	Seattle Storm	Louisiana Tech
13	Yelena Leuchanka (F)	Belarus	Atlanta Dream	Washington Mystics	Belarus
