Name	Volume	Engine	Fuel	Output	Torque	Engine ID code(s)	0–100km/h,s	Top speed	Years
1.4 SPI	1391 cc	4cyl	Petrol	PS (kW; hp) @5200 rpm	N·m (lb·ft) @2400–2800 rpm	ABD	16.9	km/h (mph)	1993–1995
1.4 MPI	1390 cc	4cyl	Petrol	PS (kW; hp) @4700 rpm	N·m (lb·ft) @2800–3200 rpm	AEX/APQ	16.9	km/h (mph)	1995–1999
1.6 MPI	1595 cc	4cyl	Petrol	PS (kW; hp) @5800 rpm	N·m (lb·ft) @4400 rpm	AEK	11.9	km/h (mph)	1994–1995
1.6 MPI	1595 cc	4cyl	Petrol	PS (kW; hp) @5800 rpm	N·m (lb·ft) @3500 rpm	AFT/AKS	11.9	km/h (mph)	1995–1999
1.8 SPI	1781 cc	4cyl	Petrol	PS (kW; hp) @5000 rpm	N·m (lb·ft) @2500 rpm	AAM/ANN	14.9	km/h (mph)	1993–1999
1.8 SPI [1]	1781 cc	4cyl	Petrol	PS (kW; hp) @5500 rpm	N·m (lb·ft) @2500 rpm	ABS/ADZ/ANP	12.8	km/h (mph)	1993–1999
2.0 MPI [1]	1984 cc	4cyl	Petrol	PS (kW; hp) @5400 rpm	N·m (lb·ft) @3200 rpm	2E/ADY	10.8	km/h (mph)	1993–1995
2.0 MPI [1]	1984 cc	4cyl	Petrol	PS (kW; hp) @5400 rpm	N·m (lb·ft) @2600 rpm	AGG	10.8	km/h (mph)	1995–1999
2.9 MPI Syncro	2861 cc	VR6	Petrol	PS (kW; hp) @5800 rpm	N·m (lb·ft) @4200 rpm	ABV	8.1	km/h (mph)	1994–1997
1.9 D	1896 cc	4cyl	Diesel	PS (kW; hp) @4400 rpm	N·m (lb·ft) @2000–3000 rpm	1Y	18.6	km/h (mph)	1993–1999
1.9 SDI	1896 cc	4cyl	Diesel	PS (kW; hp) @4200 rpm	N·m (lb·ft) @2200–2800 rpm	AEY	18.6	km/h (mph)	1995–1999
1.9 TD	1896 cc	4cyl	Diesel	PS (kW; hp) @4200 rpm	N·m (lb·ft) @2400–3400 rpm	AAZ	15.9	km/h (mph)	1993–1997
1.9 TDI [1]	1896 cc	4cyl	Diesel	PS (kW; hp) @4000 rpm	N·m (lb·ft) @1900 rpm	1Z/AHU	13.4	km/h (mph)	1993–1999
1.9 TDI	1896 cc	4cyl	Diesel	PS (kW; hp) @4150 rpm	N·m (lb·ft) @1900 rpm	AFN	11.4	km/h (mph)	1996–1999
