Date	Visitor	Score	Home	Record
October 11	New York Rangers	6–3	Chicago Black Hawks	0–1–0
October 14	Chicago Black Hawks	1–5	Toronto Maple Leafs	0–2–0
October 15	Toronto Maple Leafs	5-3	Chicago Black Hawks	0–3-0
October 18	Boston Bruins	7–1	Chicago Black Hawks	0–4–0
October 21	Chicago Black Hawks	2–4	Pittsburgh Penguins	0–5–0
October 22	Los Angeles Kings	5–3	Chicago Black Hawks	0–6–0
October 25	Chicago Black Hawks	2–2	New York Rangers	0–6–1
October 28	Chicago Black Hawks	4–2	Minnesota North Stars	1–6–1
October 29	Chicago Black Hawks	1–5	Detroit Red Wings	1–7–1
November 2	Chicago Black Hawks	3–1	Los Angeles Kings	2–7–1
November 5	Chicago Black Hawks	2–2	California Seals	2–7–2
November 8	Montreal Canadiens	2–3	Chicago Black Hawks	3–7–2
November 11	Chicago Black Hawks	3–3	Montreal Canadiens	3–7–3
November 12	St. Louis Blues	2–5	Chicago Black Hawks	4–7–3
November 15	Chicago Black Hawks	4–1	St. Louis Blues	5–7–3
November 18	Chicago Black Hawks	2–2	Toronto Maple Leafs	5–7–4
November 19	Detroit Red Wings	2–2	Chicago Black Hawks	5-7–5
November 22	Chicago Black Hawks	7-1	New York Rangers	6–7–5
November 23	Montreal Canadiens	7–0	Chicago Black Hawks	6–8–5
November 25	Chicago Black Hawks	4–1	Minnesota North Stars	7–8–5
November 26	Minnesota North Stars	1–2	Chicago Black Hawks	8–8–5
November 29	Philadelphia Flyers	1–3	Chicago Black Hawks	9–8–5
December 2	Chicago Black Hawks	2-2	Boston Bruins	9–8–6
December 3	Minnesota North Stars	4–3	Chicago Black Hawks	9–9–6
December 6	Pittsburgh Penguins	2–7	Chicago Black Hawks	10–9–6
December 9	Chicago Black Hawks	2-2	Montreal Canadiens	10–9–7
December 10	Chicago Black Hawks	3–0	Philadelphia Flyers	11–9–7
December 13	New York Rangers	2-5	Chicago Black Hawks	12–9–7
December 14	Chicago Black Hawks	3–1	Detroit Red Wings	13–9–7
December 16	Chicago Black Hawks	1–1	Pittsburgh Penguins	13–9–8
December 17	Toronto Maple Leafs	0–2	Chicago Black Hawks	14–9–8
December 20	Boston Bruins	3–6	Chicago Black Hawks	15–9–8
December 23	Philadelphia Flyers	2–3	Chicago Black Hawks	16–9–8
December 25	Montreal Canadiens	1–3	Chicago Black Hawks	17–9–8
December 27	Chicago Black Hawks	2–7	Boston Bruins	17–10–8
December 30	Chicago Black Hawks	3-3	New York Rangers	17–10–9
December 31	Oakland Seals	0–3	Chicago Black Hawks	18–10–9
January 6	Detroit Red Wings	2–6	Chicago Black Hawks	19–10–9
January 7	Boston Bruins	2–4	Chicago Black Hawks	20–10–9
January 10	New York Rangers	3–3	Chicago Black Hawks	20–10–10
January 13	Chicago Black Hawks	4–4	Detroit Red Wings	20–10–11
January 14	St. Louis Blues	2–2	Chicago Black Hawks	20-10–12
January 17	New York Rangers	4–2	Chicago Black Hawks	20–11–12
January 20	Chicago Black Hawks	1–3	Montreal Canadiens	20-12–12
January 21	Chicago Black Hawks	0–6	Boston Bruins	20–13–12
January 24	Detroit Red Wings	4–2	Chicago Black Hawks	20–14–12
January 27	Chicago Black Hawks	4–1	Toronto Maple Leafs	21–14–12
January 28	Toronto Maple Leafs	3–1	Chicago Black Hawks	21–15–12
January 31	Chicago Black Hawks	3–2	New York Rangers	22–15–12
February 1	Chicago Black Hawks	4–4	Boston Bruins	22–15–13
February 3	Chicago Black Hawks	3–5	Philadelphia Flyers	22–16–13
February 4	Los Angeles Kings	3–5	Chicago Black Hawks	23–16–13
February 7	Toronto Maple Leafs	2–3	Chicago Black Hawks	24–16–13
February 10	Chicago Black Hawks	4–6	Montreal Canadiens	24–17–13
February 11	Montreal Canadiens	6–0	Chicago Black Hawks	24–18–13
February 14	Boston Bruins	1–3	Chicago Black Hawks	25–18–13
February 17	Chicago Black Hawks	7–4	Detroit Red Wings	26–18–13
February 18	Detroit Red Wings	1–7	Chicago Black Hawks	27–18–13
February 21	Chicago Black Hawks	1–0	Oakland Seals	28–18–13
February 24	Chicago Black Hawks	3–3	Los Angeles Kings	28–18–14
February 28	Chicago Black Hawks	1–0	Toronto Maple Leafs	29–18–14
March 2	Chicago Black Hawks	3–3	St. Louis Blues	29–18–15
March 3	Chicago Black Hawks	0–4	New York Rangers	29–19–15
March 6	Boston Bruins	5–3	Chicago Black Hawks	29–20–15
March 9	Chicago Black Hawks	0-5	Montreal Canadiens	29–21–15
March 10	Toronto Maple Leafs	0–4	Chicago Black Hawks	30–21–15
March 13	Pittsburgh Penguins	3–4	Chicago Black Hawks	31–21–15
March 17	Oakland Seals	1–4	Chicago Black Hawks	32–21–15
March 20	New York Rangers	5–3	Chicago Black Hawks	32–22–15
March 21	Chicago Black Hawks	0–8	Boston Bruins	32–23–15
March 24	Montreal Canadiens	7–2	Chicago Black Hawks	32–24–15
March 28	Chicago Black Hawks	1–3	Detroit Red Wings	32–25–15
March 30	Chicago Black Hawks	0–3	Toronto Maple Leafs	32–26–15
March 31	Detroit Red Wings	5–5	Chicago Black Hawks	32–26–16
