Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	Total Apps	Total Goals
Wayne Allison	FW	27	6	2	0	0	0	29	6
Simon Baldry	MF	8 (3)	1	0	0	1 (1)	0	9 (4)	1
Paul Barnes	FW	11 (4)	1	0	0	0	0	11 (4)	1
Vince Bartram	GK	12	0	0	0	0	0	12	0
David Beresford	MF	5 (3)	0	0	0	1	0	6 (3)	0
Marcus Browning	MF	10 (4)	0	0	0	1	0	11 (4)	0
Wayne Burnett	MF	11 (4)	0	0	0	3 (1)	1	14 (5)	1
Sam Collins	DF	9 (1)	0	0	0	1	0	10 (1)	0
Paul Dalton	MF	26 (5)	13	2	0	1	0	29 (5)	13
Alex Dyer	MF	8 (4)	1	0	0	3	1	11 (4)	2
Jon Dyson	DF	35 (1)	1	2	0	3	0	40 (1)	1
Darren Edmondson	DF	15 (4)	0	0 (1)	0	2	0	17 (5)	0
Rob Edwards	MF	26 (12)	1	0 (1)	0	2	0	28 (13)	1
Delroy Facey	FW	1 (2)	0	0	0	0	0	1 (2)	0
Steve Francis	GK	9	0	0	0	4	0	13	0
Kevin Gray	DF	34 (1)	1	2	0	2	0	38 (1)	1
Steve Harper	GK	24	0	2	0	0	0	26	0
Thomas Heary	DF	2 (1)	0	0	0	0 (1)	0	2 (2)	0
Sean Hessey	DF	0 (1)	0	0	0	0	0	0 (1)	0
Barry Horne	MF	29 (1)	0	2	0	0	0	31 (1)	0
Chris Hurst	MF	1 (2)	0	0	0	0 (1)	0	1 (3)	0
Steve Jenkins	DF	28 (1)	1	2	0	4	0	34 (1)	1
Grant Johnson	MF	28 (1)	1	2	0	0	0	30 (1)	1
Ian Lawson	FW	3 (15)	0	0	0	0 (1)	0	3 (16)	0
Lee Makel	MF	10 (3)	0	0 (1)	0	4	0	14 (4)	0
Lee Martin	DF	2 (1)	0	0	0	1	0	3 (1)	0
Michael Midwood	FW	0 (1)	0	0	0	0	0	0 (1)	0
Andy Morrison	DF	22 (1)	1	2	0	3	0	27 (1)	1
Martin Nielsen	MF	0 (3)	0	0	0	0	0	0 (3)	0
Derek O'Connor	GK	1	0	0	0	0 (1)	0	1 (1)	0
Andy Payton	FW	4 (1)	0	0	0	2	1	6 (1)	1
David Phillips	MF	29	2	2	0	0	0	31	2
Lee Richardson	MF	16 (5)	3	0 (2)	0	0	0	16 (7)	3
Robbie Ryan	DF	10	0	0	0	2	0	12	0
Alex Smith	DF	4 (2)	0	0	0	0	0	4 (2)	0
Marcus Stewart	FW	38 (3)	15	2	1	4	0	44 (3)	16
Julian Watts	DF	8	0	0	0	0	0	8	0
