Week	Date	Opponent	Result	Attendance
1	September 4, 1983	Los Angeles Raiders	L 20–10	50,956
2	September 11, 1983	Buffalo Bills	L 10–6	46,839
3	September 15, 1983	at Cleveland Browns	L 17–7	79,700
4	September 25, 1983	at Tampa Bay Buccaneers	W 23–17	56,023
5	October 2, 1983	Baltimore Colts	L 34–31	48,104
6	October 10, 1983	Pittsburgh Steelers	L 24–14	56,086
7	October 16, 1983	at Denver Broncos	L 24–17	74,305
8	October 23, 1983	Cleveland Browns	W 28–21	50,047
9	October 30, 1983	Green Bay Packers	W 34–14	53,349
10	November 6, 1983	at Houston Oilers	W 55–14	39,706
11	November 13, 1983	at Kansas City Chiefs	L 20–15	44,711
12	November 20, 1983	Houston Oilers	W 38–10	46,375
13	November 28, 1983	at Miami Dolphins	L 38–14	74,506
14	December 4, 1983	at Pittsburgh Steelers	W 23–10	55,832
15	December 11, 1983	Detroit Lions	W 17–9	45,728
16	December 17, 1983	at Minnesota Vikings	L 20–14	51,565
