Pick #	Player	Position	Nationality	NHL team	College/junior/club team
49	Ron Smith	Defence	Canada	New York Islanders	Cornwall Royals (QMJHL)
50	Don Martineau	Right Wing	Canada	Atlanta Flames	New Westminster Bruins (WCHL)
51	Ron Homenuke	Right Wing	Canada	Vancouver Canucks	Calgary Centennials (WCHL)
52	John Dobie	Defence	Canada	Los Angeles Kings	Regina Pats (WCHL)
53	Rychard Campeau	Defence	Canada	Buffalo Sabres	Sorel Eperviers (QMJHL)
54	Claude St. Sauveur	Left Wing	Canada	California Golden Seals	Sherbrooke Castors (QMJHL)
55	Al MacAdam	Right Wing	Canada	Philadelphia Flyers	Charlottetown Royals (MaJHL)
56	Ron Lalonde	Centre	Canada	Pittsburgh Penguins	Peterborough Petes (OMJHL)
57	Murray Myers	Right Wing	Canada	St. Louis Blues	Saskatoon Blades (WCHL)
58	Danny Gruen	Left Wing	Canada	Detroit Red Wings	Thunder Bay Vulcans (TBJHL)
59	Brian Bowles	Defence	Canada	Toronto Maple Leafs	Cornwall Royals (QMJHL)
60	Tom Thomson	Defence	Canada	Minnesota North Stars	Toronto Marlboros (OMJHL)
61	Tom Peluso	Left Wing	United States	Chicago Black Hawks	University of Denver (WCHA)
62	Dave Elenbaas	Goaltender	Canada	Montreal Canadiens	Cornell University (ECAC)
63	Doug Horbul	Left Wing	Canada	New York Rangers	Calgary Centennials (WCHL)
64	Les Jackson	Left Wing	Canada	Boston Bruins	New Westminster Bruins (WCHL)
