Round	Pick	Overall	Name	Position	College
1	4	4	Richie Lucas	QB	Penn State
2	9	21	Sam Horner	HB	Virginia Military Institute
3	4	28	Andy Stynchula	OT	Penn State
4	12	48	Vince Promuto	G	Holy Cross
5	4	52	Don Stallings	OT	North Carolina
6	4	64	Dave Hudson	E	Florida
8	3	87	Earl Kohlhaas	G	Penn State
9	4	100	Dwight Bumgarner	E	Duke
11	4	124	Jim Elfrid	C	Colorado State
12	4	136	Jim Crotty	HB	Notre Dame
13	4	148	Bill Herron	E	Georgia
14	4	160	Charlie Milstead	RB	Texas A&M
15	4	172	Bernie Darre	G	Tulane
16	4	184	Joe Kulbacki	RB	Purdue
17	4	196	Billy Roland	G	Georgia
18	4	208	John Lawrence	G	North Carolina State
19	4	220	Ron Maltony	G	Purdue
20	4	232	Jimmy Wolf	HB	Panhandle State
