Date	Visitor	Score	Home	Attendance	Record	Points
February 1	Pittsburgh	0–6	NY Rangers	17,250	14–25–8	36
February 4	Pittsburgh	7–5	Minnesota	11,973	15–25–8	38
February 7	Los Angeles	1–3	Pittsburgh	7,983	16–25–8	40
February 8	Minnesota	3–6	Pittsburgh	7,954	17–25–8	42
February 11	Pittsburgh	1–7	Chicago	16,666	17–26–8	42
February 14	Boston	3–0	Pittsburgh	12,202	17–27–8	42
February 15	Pittsburgh	4–2	Detroit	14,487	18–27–8	44
February 17	Philadelphia	2–4	Pittsburgh	7,494	19–27–8	46
February 19	Pittsburgh	6–1	Los Angeles	5,298	20–27–8	48
February 21	Pittsburgh	3–6	Oakland	6,135	20–28–8	48
February 25	Pittsburgh	2–3	Montreal	16,259	20–29–8	48
February 26	Los Angeles	0–1	Pittsburgh	4,826	21–29–8	50
February 28	Oakland	2–3	Pittsburgh	10,740	22–29–8	52
