Round	Pick #	Overall	Name	Position	College
1	21	21	Reggie Nelson	Safety	Florida
2	16	48	Justin Durant	Linebacker	Hampton
3	15	79	Mike Sims-Walker	Wide Receiver	Central Florida
4	2	101	Adam Podlesh	Punter	Maryland
4	14	113	Brian Smith	Defensive End	Missouri
5	12	149	Uche Nwaneri	Guard	Purdue
5	13	150	Josh Gattis	Safety	Wake Forest
5	29	166	Derek Landri	Defensive Tackle	Notre Dame
7	19	229	John Broussard	Wide Receiver	San Jose State
7	41	251	Chad Nkang	Defensive Back	Elon
7	42	252	Andrew Carnahan	Offensive Tackle	Arizona State
