Rider	Manufacturer	Laps	Time	Grid
Simone Corsi	Aprilia	23	41:46.100	5
Nicolas Terol	Aprilia	23	+3.206	2
Bradley Smith	Aprilia	23	+4.986	1
Stefan Bradl	Aprilia	23	+5.022	3
Pablo Nieto	KTM	23	+6.254	13
Steve Bonsey	Aprilia	23	+20.563	6
Scott Redding	Aprilia	23	+22.517	8
Dominique Aegerter	Derbi	23	+23.002	11
Mike di Meglio	Derbi	23	+23.928	7
Sandro Cortese	Aprilia	23	+33.541	15
Raffaele de Rosa	KTM	23	+33.664	10
Esteve Rabat	KTM	23	+33.987	16
Tomoyoshi Koyama	KTM	23	+34.426	21
Pol Espargaró	Derbi	23	+40.038	17
Takaaki Nakagami	Aprilia	23	+44.515	19
Michael Ranseder	Aprilia	23	+45.498	24
Jules Cluzel	Loncin	23	+49.685	27
Andrea Iannone	Aprilia	23	+53.186	20
Pere Tutusaus	Aprilia	23	+58.037	25
Roberto Lacalendola	Aprilia	23	+1:03.610	28
Alexis Masbou	Loncin	23	+1:04.732	26
Ivan Maestro	Honda	23	+1:19.599	34
Daniel Saez	Aprilia	23	+1:24.990	32
Louis Rossi	Honda	23	+1:48.192	33
Alberto Moncayo	Derbi	20	+3 laps	35
Axel Pons	Aprilia	22	Accident	23
Lorenzo Zanetti	KTM	14	Accident	31
Hugo van den Berg	Aprilia	12	Retirement	30
Joan Olive	Derbi	9	Accident	18
Danny Webb	Aprilia	8	Accident	9
Stefano Bianco	Aprilia	7	Accident	14
Sergio Gadea	Aprilia	6	Accident	12
Efren Vazquez	Aprilia	6	Accident	22
Gabor Talmacsi	Aprilia	3	Retirement	4
