Date	Opponent	Score	Loss	Record
April 5	@ Royals	11–2	Underwood (0–1)	0–1
April 7	@ Royals	7–4	Clancy (0–1)	0–2
April 8	@ Royals	8–3	Lemongello (0–1)	0–3
April 10	@ White Sox	10–2	Kravec (0–2)	1–3
April 11	@ White Sox	Postponed (rain) Rescheduled for April 12	Postponed (rain) Rescheduled for April 12	Postponed (rain) Rescheduled for April 12
April 12	@ White Sox	9–7	LaGrow (0–1)	2–3
April 13	Royals	4–1 (6)	Splittorff (1–1)	3–3
April 14	Royals	8–6	Leonard (1–1)	4–3
April 15	Royals	12–10	Murphy (1–1)	4–4
April 16	White Sox	8–4	Murphy (1–2)	4–5
April 17	White Sox	6–1	Underwood (0–2)	4–6
April 18	White Sox	12–5	Clancy (1–2)	4–7
April 20	@ Tigers	7–2	Lemongello (0–2)	4–8
April 21	@ Tigers	5–4	Billingham (1–1)	5–8
April 22	@ Tigers	4–1	Underwood (0–3)	5–9
April 23	@ Rangers	5–0	Clancy (1–3)	5–10
April 24	@ Rangers	2–0	Comer (1–2)	6–10
April 25	@ Rangers	4–3 (10)	Jefferson (0–1)	6–11
April 27	Brewers	8–5	Huffman (2–1)	6–12
April 28	Brewers	11–8 (10)	Willis (0–1)	6–13
April 29	Brewers	3–0	Clancy (1–4)	6–14
April 29	Brewers	5–3	Travers (0–2)	7–14
April 30	Twins	6–3	Lemongello (0–3)	7–15
