Date	Cover model	Centerfold model	Interview subject	20 Questions	Pictorials
1-03	Tia Carrere	Rebecca Anne Ramos	Halle Berry	Ron Insana	Tia Carrere
2-03	Alison Eastwood	Charis Boyle	Jimmy Kimmel	Bernie Mac	Allison Eastwood, Cyber Girls
3-03	Dorismar	Pennelope Jimenez	Colin Farrell	Juliette Lewis	Ladies of Latin TV, Katrina Barellova
4-03	Carmen Electra	Carmella DeCesare	Jay-Z	Andy Richter	Carmen Electra
5-03	Torrie Wilson	Laurie Fetter	Billy Bob Thornton	Jorja Fox	Torrie Wilson
6-03	Sarah Kozer	Tailor James	Mike Piazza	Nelly	Sarah Kozer, PMOY Christina Santiago
7-03	Nikki Ziering	Marketa Janska	Lisa Marie Presley	Rachel Weisz	Nikki Ziering, 2 Fast 2 Furious 2 Fine
8-03	Jenna Morasca , Heidi Strobel	Colleen Marie	Tobey Maguire	Charles Rangel	Jenna Morasca and Heidi Strobel, Carnie Wilson
9-03	Signe Nordli	Luci Victoria	Jon Gruden	Nicolas Cage	Women of Starbucks , Jenny Haase
10-03	Lauren Hill	Audra Lynn	O.J. Simpson	Joe Rogan	Girls of Big Ten , Deanna Merryman
